#pacId	locusName	transcriptName	peptideName	Pfam	Panther	ec	KOG	KO	GO	Best-hit-arabi-name	Best-hit-arabi-defline	Best-hit-clamy-name	Best-hit-clamy-defline	Best-hit-rice-name	Best-hit-rice-defline
PAC:50640963	Ceric.1Z000100	Ceric.1Z000100.1	Ceric.1Z000100.1.p												
PAC:50640954	Ceric.1Z000400	Ceric.1Z000400.7	Ceric.1Z000400.7.p	PF08700 PF16528	PTHR21426 PTHR21426:SF15		KOG2215			AT5G49830	exocyst complex component 84B			LOC_Os07g10110	expressed protein
PAC:50640957	Ceric.1Z000400	Ceric.1Z000400.8	Ceric.1Z000400.8.p	PF16528	PTHR21426 PTHR21426:SF15		KOG2215			AT5G49830	exocyst complex component 84B			LOC_Os07g10110	expressed protein
PAC:50640949	Ceric.1Z000500	Ceric.1Z000500.1	Ceric.1Z000500.1.p												
PAC:50640958	Ceric.1Z000600	Ceric.1Z000600.1	Ceric.1Z000600.1.p	PF12937	PTHR15537 PTHR15537:SF2			K10293	GO:0005515	AT1G23780	F-box family protein	Cre17.g738800	(1 of 1) PTHR15537:SF2 - F-BOX ONLY PROTEIN 7		
PAC:50640959	Ceric.1Z000600	Ceric.1Z000600.2	Ceric.1Z000600.2.p	PF12937	PTHR15537 PTHR15537:SF2				GO:0005515	AT1G23780	F-box family protein	Cre17.g738800	(1 of 1) PTHR15537:SF2 - F-BOX ONLY PROTEIN 7		
PAC:50640960	Ceric.1Z000600	Ceric.1Z000600.3	Ceric.1Z000600.3.p	PF12937	PTHR15537 PTHR15537:SF2				GO:0005515	AT1G23780	F-box family protein	Cre17.g738800	(1 of 1) PTHR15537:SF2 - F-BOX ONLY PROTEIN 7		
PAC:50640961	Ceric.1Z000600	Ceric.1Z000600.4	Ceric.1Z000600.4.p	PF12937	PTHR15537 PTHR15537:SF2			K10293	GO:0005515	AT1G23780	F-box family protein	Cre17.g738800	(1 of 1) PTHR15537:SF2 - F-BOX ONLY PROTEIN 7		
PAC:50640962	Ceric.1Z000600	Ceric.1Z000600.5	Ceric.1Z000600.5.p	PF12937	PTHR15537 PTHR15537:SF2				GO:0005515	AT1G23780	F-box family protein	Cre17.g738800	(1 of 1) PTHR15537:SF2 - F-BOX ONLY PROTEIN 7		
PAC:50637222	Ceric.1Z000700	Ceric.1Z000700.1	Ceric.1Z000700.1.p	PF07159	PTHR12195 PTHR12195:SF0			K05749							
PAC:50637223	Ceric.1Z000700	Ceric.1Z000700.2	Ceric.1Z000700.2.p	PF07159	PTHR12195 PTHR12195:SF0			K05749							
PAC:50637224	Ceric.1Z000700	Ceric.1Z000700.3	Ceric.1Z000700.3.p	PF07159	PTHR12195 PTHR12195:SF0			K05749							
PAC:50637225	Ceric.1Z000700	Ceric.1Z000700.4	Ceric.1Z000700.4.p	PF07159	PTHR12195 PTHR12195:SF0			K05749							
PAC:50637226	Ceric.1Z000700	Ceric.1Z000700.5	Ceric.1Z000700.5.p	PF07159	PTHR12195 PTHR12195:SF0			K05749							
PAC:50637227	Ceric.1Z000700	Ceric.1Z000700.6	Ceric.1Z000700.6.p	PF07159	PTHR12195 PTHR12195:SF0			K05749							
PAC:50637173	Ceric.1Z000800	Ceric.1Z000800.1	Ceric.1Z000800.1.p	PF09764	PTHR13035 PTHR13035:SF0		KOG3261		GO:0016811	AT2G41760	(1 of 1) PTHR13035:SF0 - PROTEIN N-TERMINAL GLUTAMINE AMIDOHYDROLASE	Cre04.g217912	(1 of 1) PTHR13035:SF0 - PROTEIN N-TERMINAL GLUTAMINE AMIDOHYDROLASE	LOC_Os05g32190	tungus CG8253-PA, putative, expressed
PAC:50637174	Ceric.1Z000800	Ceric.1Z000800.2	Ceric.1Z000800.2.p	PF09764	PTHR13035		KOG3261		GO:0016811	AT2G41760	(1 of 1) PTHR13035:SF0 - PROTEIN N-TERMINAL GLUTAMINE AMIDOHYDROLASE	Cre04.g217912	(1 of 1) PTHR13035:SF0 - PROTEIN N-TERMINAL GLUTAMINE AMIDOHYDROLASE	LOC_Os05g32190	tungus CG8253-PA, putative, expressed
PAC:50637175	Ceric.1Z000800	Ceric.1Z000800.3	Ceric.1Z000800.3.p	PF09764	PTHR13035 PTHR13035:SF0		KOG3261		GO:0016811	AT2G41760	(1 of 1) PTHR13035:SF0 - PROTEIN N-TERMINAL GLUTAMINE AMIDOHYDROLASE	Cre04.g217912	(1 of 1) PTHR13035:SF0 - PROTEIN N-TERMINAL GLUTAMINE AMIDOHYDROLASE	LOC_Os05g32190	tungus CG8253-PA, putative, expressed
PAC:50637192	Ceric.1Z000900	Ceric.1Z000900.1	Ceric.1Z000900.1.p	PF00675 PF05193	PTHR11851 PTHR11851:SF145	EC:1.10.2.2 EC:3.4.24.64	KOG2067	K01412		AT1G51980	Insulinase (Peptidase family M16) protein	Cre17.g722800	Mitochondrial processing peptidase alpha subunit	LOC_Os01g53700	mitochondrial-processing peptidase subunit, mitochondrial precursor, putative, expressed
PAC:50637193	Ceric.1Z000900	Ceric.1Z000900.2	Ceric.1Z000900.2.p	PF00675 PF05193	PTHR11851 PTHR11851:SF49	EC:1.10.2.2 EC:3.4.24.64	KOG2067	K01412		AT1G51980	Insulinase (Peptidase family M16) protein	Cre17.g722800	Mitochondrial processing peptidase alpha subunit	LOC_Os01g53700	mitochondrial-processing peptidase subunit, mitochondrial precursor, putative, expressed
PAC:50637194	Ceric.1Z000900	Ceric.1Z000900.3	Ceric.1Z000900.3.p	PF00675 PF05193	PTHR11851 PTHR11851:SF49	EC:1.10.2.2 EC:3.4.24.64	KOG2067			AT1G51980	Insulinase (Peptidase family M16) protein	Cre17.g722800	Mitochondrial processing peptidase alpha subunit	LOC_Os01g53700	mitochondrial-processing peptidase subunit, mitochondrial precursor, putative, expressed
PAC:50637195	Ceric.1Z000900	Ceric.1Z000900.4	Ceric.1Z000900.4.p	PF05193	PTHR11851 PTHR11851:SF49	EC:1.10.2.2 EC:3.4.24.64				AT1G51980	Insulinase (Peptidase family M16) protein	Cre17.g722800	Mitochondrial processing peptidase alpha subunit	LOC_Os01g53700	mitochondrial-processing peptidase subunit, mitochondrial precursor, putative, expressed
PAC:50637178	Ceric.1Z001000	Ceric.1Z001000.1	Ceric.1Z001000.1.p	PF03109	PTHR10566 PTHR10566:SF59	EC:3.6.3.46	KOG1235	K08869		AT1G65950	Protein kinase superfamily protein			LOC_Os11g34750	ABC1 family domain containing protein, putative, expressed
PAC:50637182	Ceric.1Z001000	Ceric.1Z001000.2	Ceric.1Z001000.2.p	PF03109	PTHR10566 PTHR10566:SF59	EC:3.6.3.46				AT1G65950	Protein kinase superfamily protein			LOC_Os11g34750	ABC1 family domain containing protein, putative, expressed
PAC:50637179	Ceric.1Z001000	Ceric.1Z001000.3	Ceric.1Z001000.3.p	PF03109	PTHR10566 PTHR10566:SF59	EC:3.6.3.46	KOG1235	K08869		AT1G65950	Protein kinase superfamily protein			LOC_Os11g34750	ABC1 family domain containing protein, putative, expressed
PAC:50637180	Ceric.1Z001000	Ceric.1Z001000.4	Ceric.1Z001000.4.p	PF03109	PTHR10566 PTHR10566:SF59	EC:3.6.3.46	KOG1235			AT1G65950	Protein kinase superfamily protein			LOC_Os11g34750	ABC1 family domain containing protein, putative, expressed
PAC:50637181	Ceric.1Z001000	Ceric.1Z001000.5	Ceric.1Z001000.5.p	PF03109	PTHR10566 PTHR10566:SF59	EC:3.6.3.46	KOG1235			AT1G65950	Protein kinase superfamily protein			LOC_Os11g34750	ABC1 family domain containing protein, putative, expressed
PAC:50637183	Ceric.1Z001000	Ceric.1Z001000.6	Ceric.1Z001000.6.p		PTHR10566 PTHR10566:SF59	EC:3.6.3.46				AT1G65950	Protein kinase superfamily protein			LOC_Os11g34750	ABC1 family domain containing protein, putative, expressed
PAC:50637199	Ceric.1Z001100	Ceric.1Z001100.1	Ceric.1Z001100.1.p												
PAC:50637200	Ceric.1Z001100	Ceric.1Z001100.2	Ceric.1Z001100.2.p												
PAC:50637201	Ceric.1Z001100	Ceric.1Z001100.3	Ceric.1Z001100.3.p												
PAC:50637202	Ceric.1Z001100	Ceric.1Z001100.4	Ceric.1Z001100.4.p												
PAC:50637184	Ceric.1Z001200	Ceric.1Z001200.1	Ceric.1Z001200.1.p	PF08839 PF16679	PTHR28637 PTHR28637:SF1		KOG4762			AT2G31270	homolog of yeast CDT1 A			LOC_Os10g34820	CDT1B - Putative DNA replication initiation protein, expressed
PAC:50637185	Ceric.1Z001200	Ceric.1Z001200.2	Ceric.1Z001200.2.p	PF08839 PF16679	PTHR28637 PTHR28637:SF1					AT2G31270	homolog of yeast CDT1 A			LOC_Os10g34820	CDT1B - Putative DNA replication initiation protein, expressed
PAC:50637186	Ceric.1Z001200	Ceric.1Z001200.3	Ceric.1Z001200.3.p	PF16679	PTHR28637 PTHR28637:SF1					AT2G31270	homolog of yeast CDT1 A			LOC_Os10g34820	CDT1B - Putative DNA replication initiation protein, expressed
PAC:50637169	Ceric.1Z001300	Ceric.1Z001300.1	Ceric.1Z001300.1.p	PF12756 PF12874	PTHR13182 PTHR13182:SF8		KOG2785	K14816	GO:0003676 GO:0008270	AT4G31420	Zinc finger protein 622	Cre17.g716400	(1 of 1) K14816 - pre-60S factor REI1 (REI1)	LOC_Os06g47840	ZOS6-08 - C2H2 zinc finger protein, expressed
PAC:50637208	Ceric.1Z001400	Ceric.1Z001400.1	Ceric.1Z001400.1.p	PF00752 PF00867	PTHR11081 PTHR11081:SF8	EC:3.1.11.1		K10746	GO:0003677 GO:0003824 GO:0004518 GO:0006281	AT1G29630	5'-3' exonuclease family protein			LOC_Os01g56940	flap endonuclease, putative, expressed
PAC:50637211	Ceric.1Z001400	Ceric.1Z001400.2	Ceric.1Z001400.2.p	PF00752 PF00867	PTHR11081 PTHR11081:SF8	EC:3.1.11.1		K10746	GO:0003677 GO:0003824 GO:0004518 GO:0006281	AT1G29630	5'-3' exonuclease family protein			LOC_Os01g56940	flap endonuclease, putative, expressed
PAC:50637212	Ceric.1Z001400	Ceric.1Z001400.3	Ceric.1Z001400.3.p	PF00752 PF00867	PTHR11081 PTHR11081:SF8	EC:3.1.11.1		K10746	GO:0003677 GO:0003824 GO:0004518 GO:0006281	AT1G29630	5'-3' exonuclease family protein			LOC_Os01g56940	flap endonuclease, putative, expressed
PAC:50637210	Ceric.1Z001400	Ceric.1Z001400.4	Ceric.1Z001400.4.p	PF00752 PF00867	PTHR11081 PTHR11081:SF8	EC:3.1.11.1		K10746	GO:0003677 GO:0003824 GO:0004518 GO:0006281	AT1G29630	5'-3' exonuclease family protein			LOC_Os01g56940	flap endonuclease, putative, expressed
PAC:50637209	Ceric.1Z001400	Ceric.1Z001400.5	Ceric.1Z001400.5.p	PF00752 PF00867	PTHR11081 PTHR11081:SF8	EC:3.1.11.1		K10746	GO:0003677 GO:0003824 GO:0004518 GO:0006281	AT1G29630	5'-3' exonuclease family protein			LOC_Os01g56940	flap endonuclease, putative, expressed
PAC:50637213	Ceric.1Z001400	Ceric.1Z001400.6	Ceric.1Z001400.6.p	PF00752 PF00867	PTHR11081 PTHR11081:SF8	EC:3.1.11.1		K10746	GO:0003677 GO:0003824 GO:0004518 GO:0006281	AT1G29630	5'-3' exonuclease family protein			LOC_Os01g56940	flap endonuclease, putative, expressed
PAC:50637168	Ceric.1Z001500	Ceric.1Z001500.1	Ceric.1Z001500.1.p		PTHR20884 PTHR20884:SF10	EC:2.7.7.69	KOG2720		GO:0080048	AT4G26850	mannose-1-phosphate guanylyltransferase (GDP)s;GDP-galactose:mannose-1-phosphate guanylyltransferases;GDP-galactose:glucose-1-phosphate guanylyltransferases;GDP-galactose:myoinositol-1-phosphate guanylyltransferases;glucose-1-phosphate guanylyltransferase	Cre13.g588150	(1 of 1) 2.7.7.69 - GDP-L-galactose phosphorylase	LOC_Os12g08810	VTC2, putative, expressed
PAC:50637176	Ceric.1Z001600	Ceric.1Z001600.1	Ceric.1Z001600.1.p	PF13774	PTHR21136 PTHR21136:SF93					AT5G52990	SNARE-like superfamily protein			LOC_Os08g01880	synaptobrevin-related family protein, putative, expressed
PAC:50637177	Ceric.1Z001600	Ceric.1Z001600.2	Ceric.1Z001600.2.p	PF13774	PTHR21136 PTHR21136:SF93					AT5G52990	SNARE-like superfamily protein			LOC_Os08g01880	synaptobrevin-related family protein, putative, expressed
PAC:50637214	Ceric.1Z001700	Ceric.1Z001700.1	Ceric.1Z001700.1.p	PF00076 PF01480	PTHR24012 PTHR24012:SF369		KOG0130 KOG3702		GO:0003676 GO:0006397					LOC_Os04g39629	RNA recognition motif containing protein, putative, expressed
PAC:50637215	Ceric.1Z001700	Ceric.1Z001700.2	Ceric.1Z001700.2.p	PF00076 PF01480	PTHR24012 PTHR24012:SF369		KOG0130 KOG3702		GO:0003676 GO:0006397					LOC_Os04g39629	RNA recognition motif containing protein, putative, expressed
PAC:50637218	Ceric.1Z001700	Ceric.1Z001700.3	Ceric.1Z001700.3.p	PF00076	PTHR24012 PTHR24012:SF369		KOG0130		GO:0003676					LOC_Os04g39629	RNA recognition motif containing protein, putative, expressed
PAC:50637219	Ceric.1Z001700	Ceric.1Z001700.4	Ceric.1Z001700.4.p	PF00076	PTHR24012 PTHR24012:SF369		KOG0130		GO:0003676					LOC_Os04g39629	RNA recognition motif containing protein, putative, expressed
PAC:50637216	Ceric.1Z001700	Ceric.1Z001700.5	Ceric.1Z001700.5.p	PF00076 PF01480	PTHR24012 PTHR24012:SF369		KOG0130 KOG3702		GO:0003676 GO:0006397					LOC_Os04g39629	RNA recognition motif containing protein, putative, expressed
PAC:50637217	Ceric.1Z001700	Ceric.1Z001700.6	Ceric.1Z001700.6.p	PF00076 PF01480	PTHR24012 PTHR24012:SF369		KOG0130 KOG3702		GO:0003676 GO:0006397					LOC_Os04g39629	RNA recognition motif containing protein, putative, expressed
PAC:50637170	Ceric.1Z001800	Ceric.1Z001800.1	Ceric.1Z001800.1.p	PF13881	PTHR13169				GO:0005515	AT1G22050	membrane-anchored ubiquitin-fold protein 6 precursor	Cre06.g260400	Ubiquitin-like Flagellar Associated Protein	LOC_Os02g51500	membrane-anchored ubiquitin-fold protein, putative, expressed
PAC:50637172	Ceric.1Z001800	Ceric.1Z001800.2	Ceric.1Z001800.2.p	PF13881	PTHR13169				GO:0005515	AT1G22050	membrane-anchored ubiquitin-fold protein 6 precursor	Cre06.g260400	Ubiquitin-like Flagellar Associated Protein	LOC_Os02g51500	membrane-anchored ubiquitin-fold protein, putative, expressed
PAC:50637171	Ceric.1Z001800	Ceric.1Z001800.3	Ceric.1Z001800.3.p	PF13881	PTHR13169				GO:0005515	AT1G22050	membrane-anchored ubiquitin-fold protein 6 precursor	Cre06.g260400	Ubiquitin-like Flagellar Associated Protein	LOC_Os02g51500	membrane-anchored ubiquitin-fold protein, putative, expressed
PAC:50637187	Ceric.1Z001900	Ceric.1Z001900.1	Ceric.1Z001900.1.p	PF05368	PTHR12126 PTHR12126:SF7		KOG2865	K03953		AT2G20360	NAD(P)-binding Rossmann-fold superfamily protein	Cre10.g434450	NADH:ubiquinone oxidoreductase 39 kDa subunit	LOC_Os02g57180	NADH dehydrogenase 1 alpha subcomplex subunit 9,mitochondrial precursor, putative, expressed
PAC:50637188	Ceric.1Z001900	Ceric.1Z001900.2	Ceric.1Z001900.2.p	PF05368	PTHR12126 PTHR12126:SF7		KOG2865	K03953		AT2G20360	NAD(P)-binding Rossmann-fold superfamily protein	Cre10.g434450	NADH:ubiquinone oxidoreductase 39 kDa subunit	LOC_Os02g57180	NADH dehydrogenase 1 alpha subcomplex subunit 9,mitochondrial precursor, putative, expressed
PAC:50637189	Ceric.1Z001900	Ceric.1Z001900.3	Ceric.1Z001900.3.p	PF05368	PTHR12126 PTHR12126:SF7		KOG2865			AT2G20360	NAD(P)-binding Rossmann-fold superfamily protein	Cre10.g434450	NADH:ubiquinone oxidoreductase 39 kDa subunit	LOC_Os02g57180	NADH dehydrogenase 1 alpha subcomplex subunit 9,mitochondrial precursor, putative, expressed
PAC:50637190	Ceric.1Z001900	Ceric.1Z001900.4	Ceric.1Z001900.4.p		PTHR12126 PTHR12126:SF7		KOG2865			AT2G20360	NAD(P)-binding Rossmann-fold superfamily protein	Cre10.g434450	NADH:ubiquinone oxidoreductase 39 kDa subunit	LOC_Os02g57180	NADH dehydrogenase 1 alpha subcomplex subunit 9,mitochondrial precursor, putative, expressed
PAC:50637191	Ceric.1Z001900	Ceric.1Z001900.5	Ceric.1Z001900.5.p		PTHR12126 PTHR12126:SF7					AT2G20360	NAD(P)-binding Rossmann-fold superfamily protein	Cre10.g434450	NADH:ubiquinone oxidoreductase 39 kDa subunit	LOC_Os02g57180	NADH dehydrogenase 1 alpha subcomplex subunit 9,mitochondrial precursor, putative, expressed
PAC:50637196	Ceric.1Z002000	Ceric.1Z002000.1	Ceric.1Z002000.1.p	PF03849	PTHR13152 PTHR13152:SF0		KOG3471	K03144	GO:0000439 GO:0004003 GO:0005634 GO:0006289	AT4G17020	transcription factor-related	Cre09.g403300	(1 of 1) K03144 - transcription initiation factor TFIIH subunit 4 (TFIIH4, GTF2H4, TFB2)	LOC_Os04g58350	TFIIH basal transcription factor complex p52 subunit, putative, expressed
PAC:50637197	Ceric.1Z002000	Ceric.1Z002000.2	Ceric.1Z002000.2.p	PF03849	PTHR13152				GO:0000439 GO:0004003 GO:0005634 GO:0006289	AT4G17020	transcription factor-related	Cre09.g403300	(1 of 1) K03144 - transcription initiation factor TFIIH subunit 4 (TFIIH4, GTF2H4, TFB2)	LOC_Os04g58350	TFIIH basal transcription factor complex p52 subunit, putative, expressed
PAC:50637198	Ceric.1Z002000	Ceric.1Z002000.3	Ceric.1Z002000.3.p	PF03849	PTHR13152				GO:0000439 GO:0004003 GO:0005634 GO:0006289	AT4G17020	transcription factor-related	Cre09.g403300	(1 of 1) K03144 - transcription initiation factor TFIIH subunit 4 (TFIIH4, GTF2H4, TFB2)	LOC_Os04g58350	TFIIH basal transcription factor complex p52 subunit, putative, expressed
PAC:50637203	Ceric.1Z002100	Ceric.1Z002100.1	Ceric.1Z002100.1.p	PF00400 PF02138 PF14844 PF15787	PTHR13743 PTHR13743:SF16		KOG1787		GO:0005515	AT2G45540	WD-40 repeat family protein / beige-related			LOC_Os04g46894	beige/BEACH domain containing protein, expressed
PAC:50637204	Ceric.1Z002100	Ceric.1Z002100.2	Ceric.1Z002100.2.p	PF00400 PF02138 PF14844 PF15787	PTHR13743 PTHR13743:SF16		KOG1787		GO:0005515	AT2G45540	WD-40 repeat family protein / beige-related			LOC_Os04g46894	beige/BEACH domain containing protein, expressed
PAC:50637205	Ceric.1Z002100	Ceric.1Z002100.3	Ceric.1Z002100.3.p	PF00400 PF02138 PF14844	PTHR13743 PTHR13743:SF16		KOG1787		GO:0005515	AT2G45540	WD-40 repeat family protein / beige-related			LOC_Os04g46894	beige/BEACH domain containing protein, expressed
PAC:50637206	Ceric.1Z002100	Ceric.1Z002100.4	Ceric.1Z002100.4.p	PF00400 PF02138 PF14844	PTHR13743 PTHR13743:SF16		KOG1787		GO:0005515	AT2G45540	WD-40 repeat family protein / beige-related			LOC_Os04g46894	beige/BEACH domain containing protein, expressed
PAC:50637207	Ceric.1Z002200	Ceric.1Z002200.1	Ceric.1Z002200.1.p												
PAC:50637220	Ceric.1Z002300	Ceric.1Z002300.1	Ceric.1Z002300.1.p												
PAC:50637221	Ceric.1Z002300	Ceric.1Z002300.2	Ceric.1Z002300.2.p												
PAC:50618841	Ceric.1Z002400	Ceric.1Z002400.1	Ceric.1Z002400.1.p												
PAC:50618840	Ceric.1Z002500	Ceric.1Z002500.1	Ceric.1Z002500.1.p												
PAC:50618842	Ceric.1Z002600	Ceric.1Z002600.1	Ceric.1Z002600.1.p	PF00453	PTHR10986 PTHR10986:SF12				GO:0003735 GO:0005622 GO:0005840 GO:0006412 GO:0019843						
PAC:50618839	Ceric.1Z002700	Ceric.1Z002700.1	Ceric.1Z002700.1.p		PTHR17630 PTHR17630:SF48	EC:2.5.1.18	KOG3043					Cre16.g679750	(1 of 2) PTHR17630//PTHR17630:SF43 - DIENELACTONE HYDROLASE // SUBFAMILY NOT NAMED	LOC_Os05g33100	endo-1,3;1,4-beta-D-glucanase precursor, putative, expressed
PAC:50618838	Ceric.1Z002800	Ceric.1Z002800.1	Ceric.1Z002800.1.p												
PAC:50618843	Ceric.1Z002900	Ceric.1Z002900.1	Ceric.1Z002900.1.p	PF06825	PTHR19424 PTHR19424:SF0		KOG4117			AT4G15802	heat shock factor binding protein	Cre07.g329800	Similar to heat shock factor binding protein 1		
PAC:50628132	Ceric.1Z003000	Ceric.1Z003000.1	Ceric.1Z003000.1.p	PF04129 PF15277	PTHR16092 PTHR16092:SF21					AT1G47550	exocyst complex component sec3A			LOC_Os03g42750	roothairless 1, putative, expressed
PAC:50628136	Ceric.1Z003000	Ceric.1Z003000.2	Ceric.1Z003000.2.p	PF04129 PF15277	PTHR16092 PTHR16092:SF21					AT1G47550	exocyst complex component sec3A			LOC_Os03g42750	roothairless 1, putative, expressed
PAC:50628137	Ceric.1Z003000	Ceric.1Z003000.3	Ceric.1Z003000.3.p	PF04129 PF15277	PTHR16092 PTHR16092:SF21					AT1G47550	exocyst complex component sec3A			LOC_Os03g42750	roothairless 1, putative, expressed
PAC:50628134	Ceric.1Z003000	Ceric.1Z003000.4	Ceric.1Z003000.4.p	PF04129 PF15277	PTHR16092 PTHR16092:SF21					AT1G47550	exocyst complex component sec3A			LOC_Os03g42750	roothairless 1, putative, expressed
PAC:50628140	Ceric.1Z003000	Ceric.1Z003000.5	Ceric.1Z003000.5.p	PF09763 PF15277	PTHR16092 PTHR16092:SF21		KOG2148			AT1G47550	exocyst complex component sec3A			LOC_Os03g42750	roothairless 1, putative, expressed
PAC:50628139	Ceric.1Z003000	Ceric.1Z003000.6	Ceric.1Z003000.6.p	PF04129	PTHR16092 PTHR16092:SF21					AT1G47550	exocyst complex component sec3A			LOC_Os03g42750	roothairless 1, putative, expressed
PAC:50628135	Ceric.1Z003000	Ceric.1Z003000.7	Ceric.1Z003000.7.p	PF04129 PF15277	PTHR16092 PTHR16092:SF21					AT1G47550	exocyst complex component sec3A			LOC_Os03g42750	roothairless 1, putative, expressed
PAC:50628133	Ceric.1Z003000	Ceric.1Z003000.8	Ceric.1Z003000.8.p	PF04129 PF15277	PTHR16092 PTHR16092:SF21					AT1G47550	exocyst complex component sec3A			LOC_Os03g42750	roothairless 1, putative, expressed
PAC:50628138	Ceric.1Z003000	Ceric.1Z003000.9	Ceric.1Z003000.9.p	PF04129 PF15277	PTHR16092 PTHR16092:SF21					AT1G47550	exocyst complex component sec3A			LOC_Os03g42750	roothairless 1, putative, expressed
PAC:50628141	Ceric.1Z003000	Ceric.1Z003000.10	Ceric.1Z003000.10.p	PF04129 PF15277	PTHR16092 PTHR16092:SF21					AT1G47550	exocyst complex component sec3A			LOC_Os03g42750	roothairless 1, putative, expressed
PAC:50628142	Ceric.1Z003000	Ceric.1Z003000.11	Ceric.1Z003000.11.p	PF04129 PF15277	PTHR16092 PTHR16092:SF21					AT1G47550	exocyst complex component sec3A			LOC_Os03g42750	roothairless 1, putative, expressed
PAC:50628143	Ceric.1Z003000	Ceric.1Z003000.12	Ceric.1Z003000.12.p	PF04129 PF15277	PTHR16092 PTHR16092:SF21					AT1G47550	exocyst complex component sec3A			LOC_Os03g42750	roothairless 1, putative, expressed
PAC:50628144	Ceric.1Z003000	Ceric.1Z003000.13	Ceric.1Z003000.13.p	PF04129 PF15277	PTHR16092 PTHR16092:SF21					AT1G47550	exocyst complex component sec3A			LOC_Os03g42750	roothairless 1, putative, expressed
PAC:50628128	Ceric.1Z003100	Ceric.1Z003100.1	Ceric.1Z003100.1.p												
PAC:50628145	Ceric.1Z003200	Ceric.1Z003200.1	Ceric.1Z003200.1.p	PF01535 PF13041	PTHR24015									LOC_Os10g40920	pentatricopeptide, putative, expressed
PAC:50628146	Ceric.1Z003200	Ceric.1Z003200.2	Ceric.1Z003200.2.p	PF01535 PF13041	PTHR24015									LOC_Os10g40920	pentatricopeptide, putative, expressed
PAC:50628148	Ceric.1Z003200	Ceric.1Z003200.3	Ceric.1Z003200.3.p	PF01535 PF13041	PTHR24015									LOC_Os10g40920	pentatricopeptide, putative, expressed
PAC:50628147	Ceric.1Z003200	Ceric.1Z003200.4	Ceric.1Z003200.4.p	PF01535 PF13041	PTHR24015									LOC_Os10g40920	pentatricopeptide, putative, expressed
PAC:50628149	Ceric.1Z003300	Ceric.1Z003300.1	Ceric.1Z003300.1.p	PF03171 PF14226	PTHR10209 PTHR10209:SF226	EC:1.14.11.9	KOG0143		GO:0016491 GO:0055114	AT4G16330	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein			LOC_Os06g06720	flavonol synthase/flavanone 3-hydroxylase, putative, expressed
PAC:50628150	Ceric.1Z003300	Ceric.1Z003300.2	Ceric.1Z003300.2.p	PF03171	PTHR10209 PTHR10209:SF226	EC:1.14.11.9			GO:0016491 GO:0055114	AT4G16330	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein			LOC_Os06g06720	flavonol synthase/flavanone 3-hydroxylase, putative, expressed
PAC:50628116	Ceric.1Z003400	Ceric.1Z003400.1	Ceric.1Z003400.1.p												
