"Cr_peptideName","All_GO"
"Ceric.01G002300.1.p",""
"Ceric.01G002300.2.p",""
"Ceric.01G002300.3.p",""
"Ceric.01G002400.1.p",""
"Ceric.01G002400.2.p",""
"Ceric.01G002400.3.p",""
"Ceric.01G002400.4.p",""
"Ceric.01G002400.5.p",""
"Ceric.01G002400.6.p",""
"Ceric.01G002500.1.p","GO:0016491, GO:0055114, "
"Ceric.01G002600.1.p","GO:0016491, GO:0055114, "
"Ceric.01G002700.1.p",""
"Ceric.01G002800.1.p",""
"Ceric.01G002800.2.p",""
"Ceric.01G002800.3.p",""
"Ceric.01G002900.1.p","GO:0004427, GO:0009678, GO:0015992, GO:0016020"
"Ceric.01G003000.1.p",""
"Ceric.01G003000.2.p",""
"Ceric.01G003100.1.p",""
"Ceric.01G003200.1.p",""
"Ceric.01G003200.2.p",""
"Ceric.01G003200.3.p",""
"Ceric.01G003300.1.p",""
"Ceric.01G003400.1.p","GO:0005669, GO:0006367"
"Ceric.01G003500.1.p",""
"Ceric.01G003600.1.p","GO:0005978, GO:0008878, GO:0009058, GO:0016779"
"Ceric.01G003600.2.p","GO:0009058, GO:0016779, "
"Ceric.01G003700.1.p",""
"Ceric.01G003700.2.p",""
"Ceric.01G003800.1.p",""
"Ceric.01G003900.1.p",""
"Ceric.01G004000.1.p","GO:0005543, "
"Ceric.01G004000.2.p","GO:0005543, "
"Ceric.01G004000.3.p","GO:0005543, "
"Ceric.01G004000.4.p","GO:0005543, "
"Ceric.01G004100.1.p","GO:0005509, "
"Ceric.01G004200.1.p","GO:0003676, GO:0005515, GO:0005634, GO:0006281, GO:0008081, GO:0008270, GO:0016818, "
"Ceric.01G004200.2.p","GO:0003676, GO:0005515, GO:0005634, GO:0006281, GO:0008081, GO:0008270, GO:0016818, "
"Ceric.01G004200.3.p","GO:0003676, GO:0005634, GO:0006281, GO:0008081, GO:0008270, GO:0016818, "
"Ceric.01G004300.1.p",""
"Ceric.01G004400.1.p",""
"Ceric.01G004500.1.p","GO:0046872, "
"Ceric.01G004500.2.p","GO:0046872, "
"Ceric.01G004600.1.p",""
"Ceric.01G004700.1.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G004700.2.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G004700.3.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G004700.4.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G004700.5.p","GO:0004672, GO:0005524, GO:0006468, "
"Ceric.01G004800.1.p",""
"Ceric.01G004900.1.p",""
"Ceric.01G005000.1.p",""
"Ceric.01G005100.1.p",", GO:0005524"
"Ceric.01G005200.1.p",""
"Ceric.01G005300.1.p",""
"Ceric.01G005400.1.p",""
"Ceric.01G005500.1.p",""
"Ceric.01G005600.1.p",""
"Ceric.01G005700.1.p",""
"Ceric.01G005700.2.p",""
"Ceric.01G005700.3.p",""
"Ceric.01G005800.1.p",""
"Ceric.01G005900.1.p",""
"Ceric.01G006000.1.p","GO:0005525"
"Ceric.01G006000.2.p","GO:0005525, "
"Ceric.01G006000.3.p","GO:0005525, "
"Ceric.01G006000.4.p","GO:0005525, "
"Ceric.01G006100.1.p","GO:0006855, GO:0015238, GO:0015297, GO:0016020, GO:0055085"
"Ceric.01G006100.2.p","GO:0006855, GO:0015238, GO:0015297, GO:0016020, GO:0055085, "
"Ceric.01G006200.1.p",""
"Ceric.01G006300.1.p","GO:0004672, GO:0005524, GO:0006468, "
"Ceric.01G006400.1.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G006500.1.p",""
"Ceric.01G006600.1.p","GO:0006855, GO:0015238, GO:0015297, GO:0016020, GO:0055085"
"Ceric.01G006700.1.p","GO:0035091, "
"Ceric.01G006700.2.p","GO:0035091, "
"Ceric.01G006700.3.p","GO:0035091, "
"Ceric.01G006700.4.p","GO:0035091, "
"Ceric.01G006700.5.p","GO:0035091, "
"Ceric.01G006800.1.p",""
"Ceric.01G006900.1.p",""
"Ceric.01G007000.1.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468"
"Ceric.01G007100.1.p","GO:0005524, GO:0006810, GO:0016021, GO:0016887, GO:0042626, GO:0055085"
"Ceric.01G007200.1.p",""
"Ceric.01G007300.1.p","GO:0005515, "
"Ceric.01G007300.2.p","GO:0005515, "
"Ceric.01G007300.3.p","GO:0005515, "
"Ceric.01G007300.4.p","GO:0005515, "
"Ceric.01G007300.5.p","GO:0005515, "
"Ceric.01G007300.6.p",""
"Ceric.01G007400.1.p",", GO:0008270"
"Ceric.01G007500.1.p",", GO:0008270"
"Ceric.01G007600.1.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G007700.1.p",""
"Ceric.01G007700.2.p",""
"Ceric.01G007700.3.p",""
"Ceric.01G007800.1.p",""
"Ceric.01G007800.2.p",""
"Ceric.01G007800.3.p",""
"Ceric.01G007900.1.p",""
"Ceric.01G008000.1.p","GO:0004970, GO:0016020, "
"Ceric.01G008000.2.p","GO:0004970, GO:0016020, "
"Ceric.01G008100.1.p",""
"Ceric.01G008200.1.p","GO:0004970, GO:0016020, "
"Ceric.01G008200.2.p","GO:0004970, GO:0016020, "
"Ceric.01G008200.3.p","GO:0004970, GO:0016020, "
"Ceric.01G008200.4.p","GO:0004970, GO:0016020, "
"Ceric.01G008300.1.p","GO:0004970, GO:0016020, "
"Ceric.01G008300.2.p","GO:0004970, GO:0016020, "
"Ceric.01G008400.1.p","GO:0004970, GO:0016020, "
"Ceric.01G008400.2.p","GO:0004970, GO:0016020, "
"Ceric.01G008500.1.p","GO:0004970, GO:0016020, "
"Ceric.01G008500.2.p","GO:0004970, GO:0016020, "
"Ceric.01G008500.3.p","GO:0004970, GO:0016020, "
"Ceric.01G008600.1.p","GO:0003676, GO:0008270, "
"Ceric.01G008700.1.p",""
"Ceric.01G008800.1.p","GO:0005515, GO:0007165, "
"Ceric.01G008900.1.p","GO:0005515, GO:0007165, "
"Ceric.01G009000.1.p",""
"Ceric.01G009100.1.p","GO:0005515, "
"Ceric.01G009200.1.p","GO:0006541, GO:0016787, "
"Ceric.01G009300.1.p","GO:0004970, GO:0016020, "
"Ceric.01G009400.1.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G009400.2.p","GO:0004672, GO:0005524, GO:0006468, "
"Ceric.01G009500.1.p",""
"Ceric.01G009600.1.p","GO:0004672, GO:0004713, GO:0005515, GO:0005524, GO:0006468, "
"Ceric.01G009600.2.p","GO:0004672, GO:0004713, GO:0005515, GO:0005524, GO:0006468, "
"Ceric.01G009700.1.p","GO:0003735, GO:0005622, GO:0005840, GO:0006412"
"Ceric.01G009700.2.p","GO:0003735, GO:0005622, GO:0005840, GO:0006412, "
"Ceric.01G009800.1.p",""
"Ceric.01G009800.2.p",""
"Ceric.01G009900.1.p","GO:0005515, GO:0005634, GO:0008270, GO:0018024, GO:0034968, "
"Ceric.01G010000.1.p","GO:0005524, GO:0006298, GO:0030983"
"Ceric.01G010000.2.p","GO:0005524, GO:0006298, GO:0030983, "
"Ceric.01G010000.3.p","GO:0005524, GO:0006298, GO:0030983, "
"Ceric.01G010000.4.p","GO:0005524, GO:0006298, GO:0030983, "
"Ceric.01G010000.5.p","GO:0005524, GO:0006298, GO:0030983, "
"Ceric.01G010100.1.p","GO:0003700, GO:0006355, GO:0043565, "
"Ceric.01G010200.1.p","GO:0006812, GO:0008324, GO:0016021, GO:0055085"
"Ceric.01G010200.2.p","GO:0006812, GO:0008324, GO:0016021, GO:0055085, "
"Ceric.01G010200.3.p","GO:0006812, GO:0008324, GO:0016021, GO:0055085, "
"Ceric.01G010200.4.p","GO:0006812, GO:0008324, GO:0016021, GO:0055085, "
"Ceric.01G010300.1.p","GO:0046872, "
"Ceric.01G010300.2.p","GO:0046872, "
"Ceric.01G010400.1.p","GO:0005515, GO:0005634, GO:0018024, "
"Ceric.01G010400.2.p","GO:0005515, "
"Ceric.01G010400.3.p","GO:0005515, "
"Ceric.01G010500.1.p",""
"Ceric.01G010600.1.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G010600.2.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G010600.3.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G010600.4.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G010700.1.p","GO:0008168"
"Ceric.01G010700.2.p","GO:0008168, "
"Ceric.01G010700.3.p","GO:0008168, "
"Ceric.01G010800.1.p","GO:0009523, GO:0009539, GO:0015979, GO:0016020, "
"Ceric.01G010900.1.p",""
"Ceric.01G010900.2.p",""
"Ceric.01G011000.1.p","GO:0005515, GO:0006355, GO:0008270, GO:0042393"
"Ceric.01G011000.2.p","GO:0005515, GO:0006355, GO:0008270, GO:0042393, "
"Ceric.01G011000.3.p","GO:0005515, GO:0006355, GO:0008270, GO:0042393, "
"Ceric.01G011000.4.p","GO:0005515, GO:0006355, GO:0008270, GO:0042393, "
"Ceric.01G011000.5.p","GO:0005515, GO:0006355, GO:0008270, GO:0042393, "
"Ceric.01G011000.6.p","GO:0005515, GO:0006355, GO:0008270, GO:0042393, "
"Ceric.01G011000.7.p","GO:0005515, GO:0006355, GO:0008270, GO:0042393, "
"Ceric.01G011100.1.p","GO:0005783, GO:0016853, GO:0045454, , GO:0009306, GO:0005788"
"Ceric.01G011100.2.p","GO:0005783, GO:0016853, GO:0045454, "
"Ceric.01G011100.3.p","GO:0005783, GO:0016853, GO:0045454, "
"Ceric.01G011200.1.p",""
"Ceric.01G011200.2.p",""
"Ceric.01G011300.1.p","GO:0005515, "
"Ceric.01G011400.1.p",""
"Ceric.01G011400.2.p",""
"Ceric.01G011500.1.p",""
"Ceric.01G011500.2.p",""
"Ceric.01G011600.1.p",""
"Ceric.01G011700.1.p","GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0055114, "
"Ceric.01G011700.2.p","GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0055114, "
"Ceric.01G011700.3.p","GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0055114, "
"Ceric.01G011700.4.p","GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0055114, "
"Ceric.01G011800.1.p",""
"Ceric.01G011900.1.p",""
"Ceric.01G012000.1.p","GO:0046856, "
"Ceric.01G012000.2.p","GO:0046856, "
"Ceric.01G012000.3.p","GO:0046856, "
"Ceric.01G012100.1.p","GO:0046856, "
"Ceric.01G012100.2.p","GO:0046856, "
"Ceric.01G012200.1.p","GO:0000148, GO:0003843, GO:0006075, GO:0016020, "
"Ceric.01G012200.2.p","GO:0000148, GO:0003843, GO:0006075, GO:0016020, "
"Ceric.01G012200.3.p","GO:0000148, GO:0003843, GO:0006075, GO:0016020, "
"Ceric.01G012300.1.p",""
"Ceric.01G012400.1.p",""
"Ceric.01G012400.2.p",""
"Ceric.01G012400.3.p",""
"Ceric.01G012500.1.p",""
"Ceric.01G012500.2.p",""
"Ceric.01G012500.3.p",""
"Ceric.01G012500.4.p",""
"Ceric.01G012500.5.p",""
"Ceric.01G012600.1.p",""
"Ceric.01G012700.1.p",""
"Ceric.01G012800.1.p",""
"Ceric.01G012900.1.p",""
"Ceric.01G013000.1.p",""
"Ceric.01G013100.1.p",""
"Ceric.01G013200.1.p","GO:0003676, GO:0003723, "
"Ceric.01G013300.1.p","GO:0005737, GO:0006535, GO:0009001, "
"Ceric.01G013400.1.p","GO:0046983, "
"Ceric.01G013500.1.p","GO:0016773, "
"Ceric.01G013500.2.p","GO:0016773, "
"Ceric.01G013500.3.p","GO:0016773, "
"Ceric.01G013600.1.p","GO:0010024, GO:0016636, GO:0050897, GO:0055114, "
"Ceric.01G013600.2.p","GO:0010024, GO:0016636, GO:0050897, GO:0055114, "
"Ceric.01G013600.3.p","GO:0010024, GO:0016636, GO:0050897, GO:0055114, "
"Ceric.01G013700.1.p","GO:0005515, GO:0008270, "
"Ceric.01G013700.2.p","GO:0005515, GO:0008270, "
"Ceric.01G013700.3.p","GO:0005515, GO:0008270, "
"Ceric.01G013700.4.p","GO:0005515, GO:0008270, "
"Ceric.01G013700.5.p","GO:0005515, GO:0008270, "
"Ceric.01G013700.6.p","GO:0005515, GO:0008270, "
"Ceric.01G013700.7.p","GO:0005515, GO:0008270, "
"Ceric.01G013700.8.p","GO:0005515, GO:0008270, "
"Ceric.01G013700.9.p","GO:0005515, GO:0008270, "
"Ceric.01G013800.1.p","GO:0005739, GO:0033617, "
"Ceric.01G013900.1.p","GO:0004553, GO:0005975, "
"Ceric.01G013900.2.p","GO:0004553, GO:0005975, "
"Ceric.01G013900.3.p","GO:0004553, GO:0005975, "
"Ceric.01G013900.4.p","GO:0004553, GO:0005975, "
"Ceric.01G013900.5.p","GO:0004553, GO:0005975, "
"Ceric.01G013900.6.p","GO:0004553, GO:0005975, "
"Ceric.01G014000.1.p",""
"Ceric.01G014100.1.p",""
"Ceric.01G014200.1.p",""
"Ceric.01G014300.1.p","GO:0003676, GO:0003723"
"Ceric.01G014300.2.p","GO:0003676, GO:0003723, "
"Ceric.01G014300.3.p","GO:0003676, GO:0003723, "
"Ceric.01G014300.4.p","GO:0003676, GO:0003723, "
"Ceric.01G014300.5.p","GO:0003676, GO:0003723, "
"Ceric.01G014300.6.p","GO:0003676, GO:0003723, "
"Ceric.01G014400.1.p",""
"Ceric.01G014400.2.p",""
"Ceric.01G014400.3.p",""
"Ceric.01G014500.1.p",""
"Ceric.01G014500.2.p",""
"Ceric.01G014600.1.p","GO:0004553, GO:0005975, "
"Ceric.01G014700.1.p","GO:0004857, GO:0005618, GO:0030599, GO:0042545, "
"Ceric.01G014800.1.p",""
"Ceric.01G014900.1.p","GO:0004857, GO:0005618, GO:0030599, GO:0042545, "
"Ceric.01G015000.1.p","GO:0003735, GO:0005622, GO:0005840, GO:0006412, "
"Ceric.01G015100.1.p","GO:0001932, GO:0005952, GO:0008603, "
"Ceric.01G015100.2.p","GO:0001932, GO:0005952, GO:0008603, "
"Ceric.01G015100.3.p",""
"Ceric.01G015200.1.p",""
"Ceric.01G015300.1.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, GO:0030246, "
"Ceric.01G015300.2.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, GO:0030246, "
"Ceric.01G015300.3.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G015400.1.p","GO:0016757, "
"Ceric.01G015500.1.p",", GO:0016757"
"Ceric.01G015600.1.p",""
"Ceric.01G015600.2.p",""
"Ceric.01G015700.1.p",""
"Ceric.01G015800.1.p","GO:0005215, GO:0006810, GO:0016020, GO:0055085"
"Ceric.01G015800.2.p","GO:0005215, GO:0006810, GO:0016020, GO:0055085, "
"Ceric.01G015800.3.p","GO:0005215, GO:0006810, GO:0016020, GO:0055085, "
"Ceric.01G015900.1.p","GO:0005509, "
"Ceric.01G015900.2.p","GO:0005509, "
"Ceric.01G016000.1.p",""
"Ceric.01G016100.1.p","GO:0000276, GO:0015078, GO:0015986, "
"Ceric.01G016200.1.p","GO:0003677, "
"Ceric.01G016200.2.p",""
"Ceric.01G016200.3.p","GO:0003677, "
"Ceric.01G016300.1.p",""
"Ceric.01G016400.1.p","GO:0046983, "
"Ceric.01G016500.1.p",""
"Ceric.01G016600.1.p","GO:0005215, GO:0006810, GO:0016020, GO:0055085, "
"Ceric.01G016700.1.p",", GO:0030246"
"Ceric.01G016800.1.p","GO:0030246, "
"Ceric.01G016900.1.p","GO:0030246, "
"Ceric.01G017000.1.p","GO:0030246, "
"Ceric.01G017100.1.p","GO:0030246, "
"Ceric.01G017200.1.p","GO:0030246, "
"Ceric.01G017300.1.p","GO:0003676, "
"Ceric.01G017400.1.p",""
"Ceric.01G017400.2.p",""
"Ceric.01G017500.1.p",""
"Ceric.01G017600.1.p","GO:0004672, GO:0004713, GO:0005509, GO:0005524, GO:0006468, "
"Ceric.01G017600.2.p","GO:0004672, GO:0004713, GO:0005509, GO:0005524, GO:0006468, "
"Ceric.01G017600.3.p","GO:0004672, GO:0004713, GO:0005509, GO:0005524, GO:0006468, "
"Ceric.01G017700.1.p",""
"Ceric.01G017700.2.p",""
"Ceric.01G017700.3.p",""
"Ceric.01G017700.4.p",""
"Ceric.01G017700.5.p",""
"Ceric.01G017800.1.p",""
"Ceric.01G017800.2.p",""
"Ceric.01G017800.3.p",""
"Ceric.01G017800.4.p",""
"Ceric.01G017900.1.p",""
"Ceric.01G017900.2.p",""
"Ceric.01G017900.3.p",""
"Ceric.01G018000.1.p",""
"Ceric.01G018100.1.p","GO:0004175, GO:0004298, GO:0005839, GO:0006511, GO:0019773, GO:0051603"
"Ceric.01G018200.1.p","GO:0005515, GO:0008270"
"Ceric.01G018200.2.p","GO:0005515, GO:0008270, "
"Ceric.01G018200.3.p","GO:0005515, GO:0008270, "
"Ceric.01G018300.1.p",""
"Ceric.01G018400.1.p","GO:0003924, GO:0005525, GO:0005622, GO:0006886, GO:0006913, GO:0007165, GO:0007264, GO:0015031, GO:0016020"
"Ceric.01G018400.2.p","GO:0005525, GO:0005622, GO:0007165, GO:0007264, GO:0015031, GO:0016020, "
"Ceric.01G018500.1.p","GO:0030001, GO:0046872, "
"Ceric.01G018500.2.p","GO:0030001, GO:0046872, "
"Ceric.01G018600.1.p",""
"Ceric.01G018600.2.p",""
"Ceric.01G018700.1.p","GO:0016020, "
"Ceric.01G018700.2.p","GO:0016020, "
"Ceric.01G018700.3.p","GO:0016020, "
"Ceric.01G018800.1.p",""
"Ceric.01G018800.2.p",""
"Ceric.01G018900.1.p",""
"Ceric.01G018900.10.p",""
"Ceric.01G018900.11.p",""
"Ceric.01G018900.12.p",""
"Ceric.01G018900.13.p",""
"Ceric.01G018900.14.p",""
"Ceric.01G018900.15.p",""
"Ceric.01G018900.16.p",""
"Ceric.01G018900.17.p",""
"Ceric.01G018900.18.p",""
"Ceric.01G018900.19.p",""
"Ceric.01G018900.2.p",""
"Ceric.01G018900.20.p",""
"Ceric.01G018900.21.p",""
"Ceric.01G018900.3.p",""
"Ceric.01G018900.4.p",""
"Ceric.01G018900.5.p",""
"Ceric.01G018900.6.p",""
"Ceric.01G018900.7.p",""
"Ceric.01G018900.8.p",""
"Ceric.01G018900.9.p",""
"Ceric.01G019000.1.p","GO:0016020, GO:0016021, GO:0022891, GO:0055085, GO:0022857"
"Ceric.01G019100.1.p","GO:0000155, GO:0000160, GO:0007165, GO:0016310, GO:0016772, "
"Ceric.01G019100.2.p","GO:0000155, GO:0000160, GO:0007165, GO:0016310, GO:0016772, "
"Ceric.01G019100.3.p","GO:0000155, GO:0000160, GO:0007165, GO:0016310, GO:0016772, "
"Ceric.01G019100.4.p","GO:0000155, GO:0000160, GO:0007165, GO:0016310, GO:0016772, "
"Ceric.01G019100.5.p","GO:0000155, GO:0000160, GO:0007165, GO:0016310, GO:0016772, "
"Ceric.01G019200.1.p","GO:0000159, GO:0007165, GO:0008601, "
"Ceric.01G019200.2.p","GO:0000159, GO:0007165, GO:0008601, "
"Ceric.01G019300.1.p",""
"Ceric.01G019400.1.p",""
"Ceric.01G019400.2.p",""
"Ceric.01G019400.3.p",""
"Ceric.01G019500.1.p","GO:0004332, GO:0006096"
"Ceric.01G019500.2.p","GO:0004332, GO:0006096, "
"Ceric.01G019600.1.p","GO:0008152, GO:0016758, "
"Ceric.01G019700.1.p",""
"Ceric.01G019800.1.p","GO:0003824, GO:0004722, GO:0006470, "
"Ceric.01G019800.2.p","GO:0003824, GO:0004722, GO:0006470, "
"Ceric.01G019900.1.p",""
"Ceric.01G020000.1.p","GO:0004869, "
"Ceric.01G020100.1.p","GO:0016020, GO:0016021, GO:0022891, GO:0055085, "
"Ceric.01G020100.2.p","GO:0016020, GO:0016021, GO:0022891, GO:0055085, "
"Ceric.01G020100.3.p","GO:0016020, GO:0016021, GO:0022891, GO:0055085, "
"Ceric.01G020100.4.p","GO:0016020, GO:0016021, GO:0022891, GO:0055085, "
"Ceric.01G020100.5.p","GO:0016020, GO:0016021, GO:0022891, GO:0055085, "
"Ceric.01G020100.6.p","GO:0016020, GO:0016021, GO:0022857, GO:0022891, GO:0055085, "
"Ceric.01G020200.1.p",""
"Ceric.01G020300.1.p","GO:0016020, GO:0016021, GO:0022891, GO:0055085, "
"Ceric.01G020300.2.p","GO:0016020, GO:0016021, GO:0022891, GO:0055085, "
"Ceric.01G020300.3.p","GO:0016020, GO:0016021, GO:0022891, GO:0055085, "
"Ceric.01G020300.4.p","GO:0016020, GO:0016021, GO:0022857, GO:0022891, GO:0055085, "
"Ceric.01G020400.1.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G020400.2.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G020500.1.p",""
"Ceric.01G020600.1.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G020700.1.p","GO:0004672, GO:0004713, GO:0005515, GO:0005524, GO:0006468, "
"Ceric.01G020700.2.p","GO:0004672, GO:0004713, GO:0005515, GO:0005524, GO:0006468, "
"Ceric.01G020700.3.p","GO:0004672, GO:0004713, GO:0005515, GO:0005524, GO:0006468, "
"Ceric.01G020800.1.p","GO:0003924, GO:0005525, GO:0005622, GO:0006886, GO:0006913, GO:0007165, GO:0007264, GO:0015031, GO:0016020, "
"Ceric.01G020800.2.p","GO:0003924, GO:0005525, GO:0005622, GO:0006886, GO:0006913, GO:0007165, GO:0007264, GO:0015031, GO:0016020, "
"Ceric.01G020900.1.p","GO:0006629, "
"Ceric.01G020900.2.p","GO:0006629, "
"Ceric.01G021000.1.p","GO:0006024, GO:0015012, GO:0016021, "
"Ceric.01G021000.2.p","GO:0006024, GO:0015012, GO:0016021, "
"Ceric.01G021000.3.p","GO:0006024, GO:0015012, GO:0016021, "
"Ceric.01G021000.4.p","GO:0006024, GO:0015012, GO:0016021, "
"Ceric.01G021000.5.p","GO:0006024, GO:0015012, GO:0016021, "
"Ceric.01G021000.6.p","GO:0006024, GO:0015012, GO:0016021, "
"Ceric.01G021000.7.p","GO:0006024, GO:0015012, GO:0016021, "
"Ceric.01G021100.1.p","GO:0003676, "
"Ceric.01G021100.2.p","GO:0003676, "
"Ceric.01G021200.1.p","GO:0003677, GO:0005634, "
"Ceric.01G021200.2.p","GO:0003677, GO:0005634, "
"Ceric.01G021200.3.p","GO:0003677, GO:0005634, "
"Ceric.01G021200.4.p","GO:0003677, GO:0005634, "
"Ceric.01G021200.5.p",""
"Ceric.01G021300.1.p","GO:0004571, GO:0005509, GO:0016020, "
"Ceric.01G021300.2.p","GO:0004571, GO:0005509, GO:0016020, "
"Ceric.01G021300.3.p","GO:0004571, GO:0005509, GO:0016020, "
"Ceric.01G021300.4.p","GO:0004571, GO:0005509, GO:0016020, "
"Ceric.01G021300.5.p","GO:0004571, GO:0005509, GO:0016020, "
"Ceric.01G021400.1.p","GO:0046872, "
"Ceric.01G021500.1.p","GO:0005524, GO:0006139, GO:0019205, "
"Ceric.01G021600.1.p","GO:0005515, GO:0008270, "
"Ceric.01G021700.1.p","GO:0005524, GO:0006139, GO:0019205, "
"Ceric.01G021800.1.p","GO:0005524, GO:0006139, GO:0019205, "
"Ceric.01G021900.1.p","GO:0008270, GO:0016491, GO:0055114, "
"Ceric.01G021900.2.p","GO:0008270, GO:0016491, GO:0055114, "
"Ceric.01G021900.3.p","GO:0008270, GO:0016491, GO:0055114, "
"Ceric.01G021900.4.p","GO:0008270, GO:0016491, GO:0055114, "
"Ceric.01G021900.5.p","GO:0008270, GO:0016491, GO:0055114, "
"Ceric.01G022000.1.p","GO:0003743, GO:0006413"
"Ceric.01G022000.2.p","GO:0003743, GO:0006413, "
"Ceric.01G022000.3.p","GO:0008270, GO:0016491, GO:0055114, "
"Ceric.01G022000.4.p","GO:0008270, GO:0016491, GO:0055114, "
"Ceric.01G022100.1.p","GO:0004672, GO:0004713, GO:0005524, GO:0006468, "
"Ceric.01G022200.1.p","GO:0016021, "
"Ceric.01G022200.2.p","GO:0016021, "
"Ceric.01G022300.1.p",""
"Ceric.01G022400.1.p",""
"Ceric.01G022400.10.p",""
"Ceric.01G022400.11.p",""
"Ceric.01G022400.12.p",""
"Ceric.01G022400.13.p",""
"Ceric.01G022400.2.p",""
"Ceric.01G022400.3.p",""
"Ceric.01G022400.4.p",""
"Ceric.01G022400.5.p",""
"Ceric.01G022400.6.p",""
"Ceric.01G022400.7.p",""
"Ceric.01G022400.8.p",""
"Ceric.01G022400.9.p",""
"Ceric.01G022500.1.p",""
"Ceric.01G022600.1.p",""
"Ceric.01G022600.2.p",""
"Ceric.01G022600.3.p",""
"Ceric.01G022600.4.p",""
"Ceric.01G022600.5.p",""
"Ceric.01G022700.1.p","GO:0004462, GO:0046872, "
"Ceric.01G022700.2.p","GO:0004462, GO:0046872, "
"Ceric.01G022700.3.p","GO:0004462, GO:0046872, "
"Ceric.01G022800.1.p","GO:0005515, GO:0008270, "
"Ceric.01G022900.1.p",""
"Ceric.01G023000.1.p","GO:0016491, GO:0055114, "
"Ceric.01G023000.2.p","GO:0016491, GO:0055114, "
"Ceric.01G023000.3.p","GO:0016491, GO:0055114, "
"Ceric.01G023000.4.p","GO:0016491, GO:0055114, "
