"","sample_name","genotype","id_name","age","tissue1","tissue2"
"ATGE_29_A2.cel.gz","Col-0_inflo","Col-0","ATGE_29","21 days ","inflorescence","stage 1-6 flower "
"ATGE_29_B2.cel.gz","Col-0_inflo","Col-0","ATGE_29","21 days ","inflorescence","stage 1-6 flower "
"ATGE_29_C2.cel.gz","Col-0_inflo","Col-0","ATGE_29","21 days ","inflorescence","stage 1-6 flower "
"ATGE_31_A2.cel.gz","Col-0_flow9","Col-0","ATGE_31","21+ days ","stage 9 flower ",""
"ATGE_31_B2.cel.gz","Col-0_flow9","Col-0","ATGE_31","21+ days ","stage 9 flower ",""
"ATGE_31_C2.cel.gz","Col-0_flow9","Col-0","ATGE_31","21+ days ","stage 9 flower ",""
"ATGE_32_A2.cel.gz","Col-0_flow10/11","Col-0","ATGE_32","21+ days ","stage 10-11 flower ",""
"ATGE_32_B2.cel.gz","Col-0_flow10/11","Col-0","ATGE_32","21+ days ","stage 10-11 flower ",""
"ATGE_32_C2.cel.gz","Col-0_flow10/11","Col-0","ATGE_32","21+ days ","stage 10-11 flower ",""
"ATGE_33_B.cel.gz","Col-0_flow12","Col-0","ATGE_33","21+ days ","stage 12 flower ",""
"ATGE_33_C.cel.gz","Col-0_flow12","Col-0","ATGE_33","21+ days ","stage 12 flower ",""
"ATGE_33_A.cel.gz","Col-0_flow12","Col-0","ATGE_33","21+ days ","stage 12 flower ",""
"ATGE_34_A.cel.gz","Col-0_flow12_sepal","Col-0","ATGE_34","21+ days ","sepal ",""
"ATGE_34_B.cel.gz","Col-0_flow12_sepal","Col-0","ATGE_34","21+ days ","sepal ",""
"ATGE_34_C.cel.gz","Col-0_flow12_sepal","Col-0","ATGE_34","21+ days ","sepal ",""
"ATGE_35_A.cel.gz","Col-0_flow12_petal","Col-0","ATGE_35","21+ days ","petal ",""
"ATGE_35_B.cel.gz","Col-0_flow12_petal","Col-0","ATGE_35","21+ days ","petal ",""
"ATGE_35_C.cel.gz","Col-0_flow12_petal","Col-0","ATGE_35","21+ days ","petal ",""
"ATGE_36_A.cel.gz","Col-0_flow12_stam","Col-0","ATGE_36","21+ days ","stamen ",""
"ATGE_36_B.cel.gz","Col-0_flow12_stam","Col-0","ATGE_36","21+ days ","stamen ",""
"ATGE_36_C.cel.gz","Col-0_flow12_stam","Col-0","ATGE_36","21+ days ","stamen ",""
"ATGE_37_A.cel.gz","Col-0_flow12_carp","Col-0","ATGE_37","21+ days ","carpel ",""
"ATGE_37_B.cel.gz","Col-0_flow12_carp","Col-0","ATGE_37","21+ days ","carpel ",""
"ATGE_37_C.cel.gz","Col-0_flow12_carp","Col-0","ATGE_37","21+ days ","carpel ",""
"ATGE_39_A.cel.gz","Col-0_flow15","Col-0","ATGE_39","21+ days ","stage 15 flower ",""
"ATGE_39_B.cel.gz","Col-0_flow15","Col-0","ATGE_39","21+ days ","stage 15 flower ",""
"ATGE_39_C.cel.gz","Col-0_flow15","Col-0","ATGE_39","21+ days ","stage 15 flower ",""
"ATGE_40_B.cel.gz","Col-0_flow15_pedi","Col-0","ATGE_40","21+ days ","pedicel","stage 15 flower "
"ATGE_40_C.cel.gz","Col-0_flow15_pedi","Col-0","ATGE_40","21+ days ","pedicel","stage 15 flower "
"ATGE_40_A.cel.gz","Col-0_flow15_pedi","Col-0","ATGE_40","21+ days ","pedicel","stage 15 flower "
"ATGE_41_A.cel.gz","Col-0_flow15_sepal","Col-0","ATGE_41","21+ days ","sepal","stage 15 flower "
"ATGE_41_B.cel.gz","Col-0_flow15_sepal","Col-0","ATGE_41","21+ days ","sepal","stage 15 flower "
"ATGE_41_C.cel.gz","Col-0_flow15_sepal","Col-0","ATGE_41","21+ days ","sepal","stage 15 flower "
"ATGE_42_B.cel.gz","Col-0_flow15_petal","Col-0","ATGE_42","21+ days ","petal","stage 15 flower "
"ATGE_42_C.cel.gz","Col-0_flow15_petal","Col-0","ATGE_42","21+ days ","petal","stage 15 flower "
"ATGE_42_D.cel.gz","Col-0_flow15_petal","Col-0","ATGE_42","21+ days ","petal","stage 15 flower "
"ATGE_43_A.cel.gz","Col-0_flow15_stam","Col-0","ATGE_43","21+ days ","stage 15 flower","stamen "
"ATGE_43_B.cel.gz","Col-0_flow15_stam","Col-0","ATGE_43","21+ days ","stage 15 flower","stamen "
"ATGE_43_C.cel.gz","Col-0_flow15_stam","Col-0","ATGE_43","21+ days ","stage 15 flower","stamen "
"ATGE_45_A.cel.gz","Col-0_flow15_carp","Col-0","ATGE_45","21+ days ","carpel","stage 15 flower "
"ATGE_45_B.cel.gz","Col-0_flow15_carp","Col-0","ATGE_45","21+ days ","carpel","stage 15 flower "
"ATGE_45_C.cel.gz","Col-0_flow15_carp","Col-0","ATGE_45","21+ days ","carpel","stage 15 flower "
"ATGE_46_A.cel.gz","clv3-7_inflor","clv3-7","ATGE_46","21+ days ","stage 1-6 flower ",""
"ATGE_46_B.cel.gz","clv3-7_inflor","clv3-7","ATGE_46","21+ days ","stage 1-6 flower ",""
"ATGE_46_C.cel.gz","clv3-7_inflor","clv3-7","ATGE_46","21+ days ","stage 1-6 flower ",""
"ATGE_47_B.cel.gz","lfy-12_inflor","lfy-12","ATGE_47","21+ days ","stage 1-7 flower ",""
"ATGE_47_C.cel.gz","lfy-12_inflor","lfy-12","ATGE_47","21+ days ","stage 1-7 flower ",""
"ATGE_47_A.cel.gz","lfy-12_inflor","lfy-12","ATGE_47","21+ days ","stage 1-7 flower ",""
"ATGE_53_B.cel.gz","clv3-7_flow12","clv3-7","ATGE_53","21+ days ","stage 12 flower ",""
"ATGE_53_C.cel.gz","clv3-7_flow12","clv3-7","ATGE_53","21+ days ","stage 12 flower ",""
"ATGE_53_A.cel.gz","clv3-7_flow12","clv3-7","ATGE_53","21+ days ","stage 12 flower ",""
"ATGE_54_A.cel.gz","lfy-12_flow12","lfy-12","ATGE_54","21+ days ","stage 12 flower ",""
"ATGE_54_B.cel.gz","lfy-12_flow12","lfy-12","ATGE_54","21+ days ","stage 12 flower ",""
"ATGE_54_C.cel.gz","lfy-12_flow12","lfy-12","ATGE_54","21+ days ","stage 12 flower ",""
"ATGE_92_A.cel.gz","Col-0_flower","Col-0","ATGE_92","4 weeks ","stage 12 flower ",""
"ATGE_92_B.cel.gz","Col-0_flower","Col-0","ATGE_92","4 weeks ","stage 12 flower ",""
"ATGE_92_C.cel.gz","Col-0_flower","Col-0","ATGE_92","4 weeks ","stage 12 flower ",""
