.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
RNAi-WYS-1_R1_001	1	1	1	1	0.5	1	1	1	0.25	1	0.5
RNAi-WYS-1_R2_001	1	1	1	1	0.5	0.5	1	1	0.25	1	0.5
RNAi-WYS-2_R1_001	1	1	1	1	0.5	0.5	1	1	0.25	1	0.5
RNAi-WYS-2_R2_001	1	1	1	1	0.5	1	1	1	0.25	0.5	0.5
RNAi-WYS-3_R1_001	1	1	1	1	0.5	1	1	1	0.25	1	0.25
RNAi-WYS-3_R2_001	1	1	1	1	0.5	1	1	1	0.25	1	0.25
RNAi-gam-1_R1_001	1	1	1	1	0.5	1	1	1	0.25	1	0.25
RNAi-gam-1_R2_001	1	1	1	1	0.5	0.5	1	1	0.25	1	0.5
RNAi-gam-2_R1_001	1	1	1	1	0.5	0.5	1	1	0.25	0.5	0.25
RNAi-gam-2_R2_001	1	1	1	1	0.5	0.5	1	1	0.25	0.5	0.5
RNAi-gam-3_R1_001	1	1	1	1	0.5	1	1	1	0.25	1	0.5
RNAi-gam-3_R2_001	1	1	1	1	0.5	1	1	1	0.25	1	0.5
WT-S5-1_R1_001	1	1	1	1	0.5	0.5	1	1	0.25	1	0.25
WT-S5-1_R2_001	1	1	1	1	0.5	0.5	1	1	0.25	1	0.25
WT-S5-2_R1_001	1	1	1	1	0.5	1	1	1	0.25	1	0.25
WT-S5-2_R2_001	1	1	1	1	0.5	1	1	1	0.25	1	0.25
WT-S5-3_R1_001	1	1	1	1	0.5	1	1	1	0.25	1	0.5
WT-S5-3_R2_001	1	1	1	1	0.5	1	1	1	0.25	1	0.5
WT-WYS-2_R1_001	1	1	1	1	0.5	1	1	1	0.25	1	0.25
WT-WYS-2_R2_001	1	1	1	1	0.5	1	1	1	0.25	1	0.25
WT-WYS-3_R1_001	1	1	1	1	0.5	1	1	1	0.25	1	0.25
WT-WYS-3_R2_001	1	1	1	1	0.5	1	1	1	0.25	1	0.25
WT-male-gam-1_R1_001	1	1	1	1	0.5	0.5	1	1	0.25	1	0.25
WT-male-gam-1_R2_001	1	1	1	1	0.5	1	1	1	0.25	1	0.25
WT-male-gam-2_R1_001	1	1	1	1	0.5	1	1	1	0.25	1	0.5
WT-male-gam-2_R2_001	1	1	1	1	0.5	1	1	1	0.25	1	0.5
WT-male-gam-3_R1_001	1	1	1	1	0.5	1	1	1	0.25	1	0.5
WT-male-gam-3_R2_001	1	1	1	1	0.5	1	1	1	0.25	1	0.5
WT-mature-herm-1_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	0.5
WT-mature-herm-1_R2_001	1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	0.5
WT-mature-herm-2_R1_001	1	1	1	1	0.5	1	1	1	0.25	0.5	0.5
WT-mature-herm-2_R2_001	1	1	1	1	0.5	1	1	1	0.25	0.5	0.5
WT-mature-herm-3_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	0.25
WT-mature-herm-3_R2_001	1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.25
