module,GO.ID,Term,Annotated,Significant,Expected,p.value
green,GO:0006269,"DNA replication, synthesis of primer",2,2,0.11,0.0032
greenyellow,GO:0006873,intracellular monoatomic ion homeostasis,11,3,0.27,0.0020
greenyellow,GO:0045454,cell redox homeostasis,98,8,2.38,0.0024
greenyellow,GO:0032259,methylation,26,3,0.63,0.0241
grey60,GO:0006470,protein dephosphorylation,86,7,2.68,0.017
grey60,GO:0035434,copper ion transmembrane transport,8,2,0.25,0.024
grey60,GO:0006873,intracellular monoatomic ion homeostasis,11,3,0.34,0.030
ivory,GO:0006413,translational initiation,15,5,0.68,0.00038
ivory,GO:0035434,copper ion transmembrane transport,8,3,0.36,0.00438
ivory,GO:0000387,spliceosomal snRNP assembly,3,2,0.14,0.00599
ivory,GO:0000045,autophagosome assembly,3,2,0.14,0.00599
lightcyan,GO:0048544,recognition of pollen,12,6,0.91,0.00011
lightcyan,GO:0006812,monoatomic cation transport,159,31,12.02,0.00049
lightcyan,GO:0071805,potassium ion transmembrane transport,24,7,1.81,0.00150
lightcyan1,GO:0005975,carbohydrate metabolic process,354,43,26.63,0.00081
lightcyan1,GO:0006032,chitin catabolic process,4,3,0.3,0.00160
lightcyan1,GO:0006486,protein glycosylation,19,6,1.43,0.00508
lightsteelblue1,GO:0071897,DNA biosynthetic process,4,1,0.01,0.012
lightsteelblue1,GO:0015743,malate transport,8,1,0.02,0.024
lightsteelblue1,GO:0015936,coenzyme A metabolic process,8,1,0.02,0.024
magenta,GO:0006694,steroid biosynthetic process,17,3,0.55,0.016
magenta,GO:0009058,biosynthetic process,1436,46,46.07,0.018
magenta,GO:0016998,cell wall macromolecule catabolic proces...,7,2,0.22,0.019
maroon,GO:0045454,cell redox homeostasis,98,6,1.15,0.00095
maroon,GO:0000103,sulfate assimilation,6,2,0.07,0.00198
maroon,GO:0008152,metabolic process,4025,52,47.35,0.00247
mediumpurple3,GO:0015995,chlorophyll biosynthetic process,21,4,0.3,0.00018
mediumpurple3,GO:0034477,U6 snRNA 3'-end processing,1,1,0.01,0.01408
mediumpurple3,GO:0050992,dimethylallyl diphosphate biosynthetic p...,1,1,0.01,0.01408
mediumpurple3,GO:0019288,isopentenyl diphosphate biosynthetic pro...,1,1,0.01,0.01408
mediumpurple3,GO:0016036,cellular response to phosphate starvatio...,1,1,0.01,0.01408
orangered4,GO:0006355,regulation of DNA-templated transcriptio...,457,75,51.08,0.0003
orangered4,GO:0006468,protein phosphorylation,769,114,85.95,0.0005
orangered4,GO:0006470,protein dephosphorylation,86,20,9.61,0.0010
plum2,GO:0009690,cytokinin metabolic process,3,1,0.01,0.0075
plum2,GO:0009864,"induced systemic resistance, jasmonic ac...",6,1,0.01,0.0149
plum2,GO:0009694,jasmonic acid metabolic process,6,1,0.01,0.0149
saddlebrown,GO:0009864,"induced systemic resistance, jasmonic ac...",6,2,0.09,0.0030
saddlebrown,GO:0009694,jasmonic acid metabolic process,6,2,0.09,0.0030
saddlebrown,GO:0010411,xyloglucan metabolic process,21,3,0.3,0.0032
salmon4,GO:0009767,photosynthetic electron transport chain,49,10,0.23,0.0013
salmon4,GO:0006412,translation,189,4,0.88,0.0104
salmon4,GO:0015693,magnesium ion transport,3,1,0.01,0.0138
skyblue,GO:0006071,glycerol metabolic process,1,1,0.04,0.036
skyblue,GO:0050821,protein stabilization,1,1,0.04,0.036
skyblue,GO:0009773,photosynthetic electron transport in pho...,1,1,0.04,0.036
steelblue,GO:0005992,trehalose biosynthetic process,16,3,0.19,0.00085
steelblue,GO:0006012,galactose metabolic process,6,2,0.07,0.00210
steelblue,GO:0000272,polysaccharide catabolic process,8,2,0.1,0.00387
thistle1,GO:0006352,DNA-templated transcription initiation,20,2,0.08,0.0029
thistle1,GO:0015996,chlorophyll catabolic process,1,1,0,0.0041
thistle1,GO:0000154,rRNA modification,2,1,0.01,0.0082
