geneID,logFC,logCPM,F,PValue,FDR,GO,GOterms,Best-hit-arabi-name,Best-hit-arabi-defline,Best-hit-clamy-name,Best-hit-clamy-defline,Best-hit-rice-name,Best-hit-rice-defline,Pfam,Panther,ec,KOG,KO
Ceric.11G052700.1,5.704250519143291,4.6452984621717555,694.3517056647448,1.0931555191224588e-9,1.2540969571858814e-6,GO:0003824,catalytic activity,NA,NA,NA,NA,LOC_Os10g35540,"hydrolase, alpha/beta fold family domain containing protein, expressed",PF12697,PTHR10992 PTHR10992:SF869,EC:3.3.2.10,KOG4178,NA
Ceric.05G082400.1,8.138545515998624,8.20422729096141,683.841775358071,1.1549396534081051e-9,1.2540969571858814e-6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.05G102400.1,6.617771341970123,5.622845375373105,683.556542230101,1.1685643179305196e-9,1.2540969571858814e-6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.26G010900.1,-5.628361791609536,5.760535556631234,676.8755744259224,1.2166314361929746e-9,1.2540969571858814e-6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.02G109500.1,4.657371453696068,8.211382759161472,660.9761257540471,1.3352882398757886e-9,1.2540969571858814e-6,NA,,AT4G11180,Disease resistance-responsive (dirigent-like protein) family protein,NA,NA,LOC_Os03g05030,"dirigent, putative, expressed",PF03018,PTHR21495,NA,NA,NA
Ceric.06G060100.1,8.824256495623917,3.4602674853627984,260.78069242213525,1.3626013899656844e-9,1.2540969571858814e-6,GO:0005576 GO:0009664 GO:0019953,extracellular region; plant-type cell wall organization; sexual reproduction,AT4G28250,expansin B3,Cre10.g462816,NA,LOC_Os02g42650,"expansin precursor, putative, expressed",PF01357 PF03330,PTHR31692,NA,NA,NA
Ceric.17G043800.1,6.505070171679944,4.144962184068438,671.6967657850229,1.3956854313104597e-9,1.2540969571858814e-6,GO:0009405,,NA,NA,NA,NA,NA,NA,PF03945,NA,NA,NA,NA
Ceric.15G049400.1,-3.3986026112739696,6.490602613365813,651.3303457509704,1.4241499169400777e-9,1.2540969571858814e-6,NA,,AT3G11760,(1 of 1) PTHR31182:SF2 - F26K24.5 PROTEIN,NA,NA,LOC_Os03g44670,expressed protein,PF10358,PTHR31182 PTHR31182:SF2,NA,NA,NA
Ceric.08G069200.1,4.430934961793736,6.387948982746225,643.8599405480446,1.497652544696462e-9,1.2540969571858814e-6,GO:0004089 GO:0008270,carbonate dehydratase activity; zinc ion binding,AT1G70410,beta carbonic anhydrase 4,Cre09.g405750,Carbonic anhydrase,LOC_Os01g45274,"carbonic anhydrase, chloroplast precursor, putative, expressed",PF00484,PTHR11002 PTHR11002:SF7,EC:4.2.1.1,KOG1578,K01673
Ceric.32G032000.1,-3.147967215274133,4.7753370509268604,642.2318116310643,1.5163399826784558e-9,1.2540969571858814e-6,NA,,AT2G30820,NA,NA,NA,NA,NA,NA,PTHR33318 PTHR33318:SF7,NA,NA,NA
Ceric.10G043900.1,8.504888084882449,3.507256111439017,296.7723658563278,1.6073979610638265e-9,1.2540969571858814e-6,NA,,NA,NA,NA,NA,LOC_Os10g18760,"dirigent, putative, expressed",PF03018,NA,NA,NA,NA
Ceric.32G025300.1,-5.185069936436372,5.7609725482743,627.9529898058312,1.6786584089284204e-9,1.2540969571858814e-6,GO:0004553 GO:0005975,"hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process",NA,NA,NA,NA,LOC_Os01g71340,"glycosyl hydrolases family 17, putative, expressed",PF00332,PTHR32227,EC:3.2.1.39,NA,NA
Ceric.03G032500.1,7.054649387059198,5.036580743488196,630.6756853976481,1.770448598138201e-9,1.2540969571858814e-6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.13G059500.1,-4.518019602838684,4.779389009217548,619.0053953150103,1.793068860027008e-9,1.2540969571858814e-6,GO:0015012 GO:0016021,heparan sulfate proteoglycan biosynthetic process; ,NA,NA,Cre13.g564450,Exostosin-like glycosyltransferase 43,NA,NA,PF03016,PTHR11062 PTHR11062:SF57,EC:2.4.1.224 EC:2.4.1.225,NA,K02366
Ceric.30G016400.1,5.011745682048841,5.5104018548865765,614.7398259804813,1.8347228711517659e-9,1.2540969571858814e-6,GO:0004857 GO:0005618 GO:0030599 GO:0042545,enzyme inhibitor activity; cell wall; pectinesterase activity; cell wall modification,AT1G53830,pectin methylesterase 2,NA,NA,LOC_Os03g18860,"pectinesterase, putative, expressed",PF01095 PF04043,PTHR31707,EC:3.1.1.11,NA,K01051
Ceric.28G065000.1,6.229767443826372,4.853563171421577,614.9196174098045,1.87556110185831e-9,1.2540969571858814e-6,NA,,AT4G11180,Disease resistance-responsive (dirigent-like protein) family protein,NA,NA,LOC_Os03g05030,"dirigent, putative, expressed",PF03018,PTHR21495,NA,NA,NA
Ceric.34G072300.1,5.260725165845784,4.770947369711019,612.1417268198439,1.8768122075936427e-9,1.2540969571858814e-6,NA,,AT1G78780,pathogenesis-related family protein,NA,NA,LOC_Os01g53090,"pathogen-related protein, putative, expressed",NA,PTHR31723,NA,NA,NA
Ceric.12G084200.1,-3.3227970181912907,7.790334321886395,607.0040365596099,1.9351082840717194e-9,1.2561064315950113e-6,GO:0043531,ADP binding,NA,NA,NA,NA,LOC_Os02g10900,"NB-ARC domain containing protein, expressed",PF00931,PTHR19851 PTHR19851:SF7,NA,NA,NA
Ceric.26G024600.1,-3.472879127643015,5.82640015987495,597.2114434391375,2.078551046796884e-9,1.2660869926606508e-6,GO:0005089,,AT4G38430,rho guanyl-nucleotide exchange factor 1,NA,NA,LOC_Os01g62990,"ATROPGEF7/ROPGEF7, putative, expressed",PF03759,PTHR33101,NA,NA,NA
Ceric.06G067600.1,-3.589916604615327,5.630206293200618,594.1708974347457,2.1258801435291536e-9,1.2660869926606508e-6,GO:0004672 GO:0004674 GO:0004713 GO:0005524 GO:0006468,protein kinase activity; protein serine/threonine kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,AT3G08730,protein-serine kinase 1,NA,NA,LOC_Os03g21620,"AGC_AGC_other_RS6K_like.1 - ACG kinases include homologs to PKA, PKG and PKC, expressed",PF14531,PTHR24351 PTHR24351:SF83,EC:2.7.11.1,KOG0598,K04688
Ceric.08G004000.1,3.741334577500954,6.947402387018852,592.4425337143045,2.1510799214601918e-9,1.2660869926606508e-6,GO:0000234 GO:0006656 GO:0008152 GO:0008168,phosphoethanolamine N-methyltransferase activity; phosphatidylcholine biosynthetic process; metabolic process; methyltransferase activity,AT1G48600,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,NA,NA,LOC_Os05g47540,"CPuORF26 - conserved peptide uORF-containing transcript, expressed",PF08241 PF13489,PTHR10108 PTHR10108:SF793,EC:2.1.1.103,KOG1269,K05929
Ceric.25G061300.1,-3.532781610372967,5.574356374440004,588.6601494155024,2.2138560084389582e-9,1.2660869926606508e-6,GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114,"monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding; ",NA,NA,NA,NA,NA,NA,PF00067,PTHR24282,NA,KOG0157,NA
Ceric.04G045100.1,4.381136273371264,4.39001064952048,579.139587345755,2.3821900204876007e-9,1.2660869926606508e-6,NA,,AT1G65010,Plant protein of unknown function (DUF827),NA,NA,LOC_Os05g02820,"protein transport protein-related, putative, expressed",NA,NA,NA,NA,NA
Ceric.35G020700.1,5.565556950335729,5.102905447085512,573.7011711124311,2.487960586771343e-9,1.2660869926606508e-6,GO:0004601 GO:0006979 GO:0020037 GO:0055114,peroxidase activity; response to oxidative stress; heme binding; ,AT5G17820,Peroxidase superfamily protein,NA,NA,NA,NA,PF00141,PTHR31235,EC:1.11.1.7,NA,K00430
Ceric.16G059000.1,9.256728833270001,5.878701990127291,549.8680285105696,2.5064897300347332e-9,1.2660869926606508e-6,GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114,"monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding; ",AT2G45570,"cytochrome P450, family 76, subfamily C, polypeptide 2",Cre03.g161250,"Cytochrome P450, CYP197 superfamily",LOC_Os06g41070,"cytochrome P450, putative, expressed",PF00067,PTHR24298,EC:1.14.13.88,KOG0156,NA
Ceric.33G004700.1,3.193987428212926,4.626362735212824,567.6710313268192,2.592064892183797e-9,1.2660869926606508e-6,GO:0005515 GO:0007165 GO:0043531,protein binding; signal transduction; ADP binding,AT5G44510,target of AVRB operation1,NA,NA,LOC_Os11g29970,"NB-ARC domain containing protein, expressed",PF00931 PF01582,PTHR11017 PTHR11017:SF162,NA,KOG4658,NA
Ceric.06G007700.1,-3.2677998861939157,4.298533697969906,562.3798834619298,2.707376807141387e-9,1.2660869926606508e-6,GO:0046872,metal ion binding,AT1G34370,C2H2 and C2HC zinc fingers superfamily protein,NA,NA,NA,NA,PF12171,PTHR10593 PTHR10593:SF27,NA,NA,NA
Ceric.17G057800.1,5.253230766613578,8.554810935910826,555.2538172412491,2.8515065647535305e-9,1.2660869926606508e-6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.17G026200.1,5.7900274871874675,5.775075029106179,551.0583977621316,2.956791216264093e-9,1.2660869926606508e-6,GO:0004601 GO:0006979 GO:0020037 GO:0055114,peroxidase activity; response to oxidative stress; heme binding; ,AT5G22410,root hair specific 18,NA,NA,NA,NA,PF00141,PTHR31235,EC:1.11.1.7,NA,K00430
Ceric.21G074600.1,3.3725388256360653,7.330729576956084,549.1143233553317,2.9927039969388927e-9,1.2660869926606508e-6,GO:0004332 GO:0006096,fructose-bisphosphate aldolase activity; glycolytic process,NA,NA,Cre01.g006950,"Fructose-1,6-bisphosphate aldolase",NA,NA,PF00274,PTHR11627 PTHR11627:SF6,EC:4.1.2.13,NA,K01623
Ceric.15G021200.1,4.429222697516148,6.1952546559703565,547.9469867097256,3.0218994630111837e-9,1.2660869926606508e-6,GO:0004601 GO:0006979 GO:0020037 GO:0055114,peroxidase activity; response to oxidative stress; heme binding; ,AT2G37130,Peroxidase superfamily protein,NA,NA,LOC_Os07g49360,"peroxidase precursor, putative, expressed",PF00141,PTHR31235 PTHR31235:SF11,EC:1.11.1.7,NA,K00430
Ceric.15G075000.1,-3.1592218479064598,5.168039709037918,544.9801977155081,3.0959974475230967e-9,1.2660869926606508e-6,NA,,AT1G01550,Protein of unknown function (DUF793),NA,NA,LOC_Os10g36950,"DUF677 domain containing protein, putative, expressed",PF05633,PTHR31509 PTHR31509:SF3,NA,NA,NA
Ceric.12G016000.1,-3.204168864796071,4.481758377852127,544.8900529744187,3.103092829190226e-9,1.2660869926606508e-6,GO:0005524 GO:0016887,ATP binding; ATP hydrolysis activity,AT1G67940,non-intrinsic ABC protein 3,Cre06.g273750,Chloroplast sulfate transporter,LOC_Os06g48060,"ABC transporter, ATP-binding protein, putative, expressed",PF00005,PTHR24220,EC:3.6.3.27,KOG2355,NA
Ceric.19G035800.1,-4.201049126737735,6.163510526423892,543.4318694690677,3.13437147783477e-9,1.2660869926606508e-6,GO:0005618 GO:0030599 GO:0042545,cell wall; pectinesterase activity; cell wall modification,AT5G55590,Pectin lyase-like superfamily protein,NA,NA,NA,NA,PF01095,PTHR31321 PTHR31321:SF16,EC:3.1.1.11,NA,K01051
Ceric.01G072800.1,6.500899522930148,5.149090322633135,544.9665488809618,3.165576223819873e-9,1.2660869926606508e-6,NA,,NA,NA,NA,NA,LOC_Os10g18760,"dirigent, putative, expressed",PF03018,NA,NA,NA,NA
Ceric.10G049000.1,3.8068211176827487,5.979037918147214,541.5694298633186,3.1791570121567466e-9,1.2660869926606508e-6,NA,,NA,NA,NA,NA,NA,NA,PF04674,PTHR31279,NA,NA,NA
Ceric.26G041000.1,-2.583492440857705,5.61126064014499,540.2755720025438,3.212646480439373e-9,1.2660869926606508e-6,GO:0003777 GO:0005515 GO:0005524 GO:0005871 GO:0007018 GO:0008017,microtubule motor activity; protein binding; ATP binding; kinesin complex; microtubule-based movement; microtubule binding,AT3G44730,kinesin-like protein 1,Cre05.g233100,Kinesin motor protein,LOC_Os12g36100,"kinesin-4, putative, expressed",PF00225 PF00307,PTHR24115 PTHR24115:SF457,EC:3.6.4.5,NA,K10406
Ceric.23G062900.1,-3.3909206837950108,4.781073389684156,537.728954879249,3.2854052932679776e-9,1.2660869926606508e-6,NA,,NA,NA,NA,NA,NA,NA,PF13837,PTHR21654 PTHR21654:SF11,NA,NA,NA
Ceric.20G018900.1,-3.5447000866860585,4.391521300470138,537.9159309125213,3.2871887905801848e-9,1.2660869926606508e-6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.36G029000.1,-3.543763419154323,6.010548557912472,533.6831952399305,3.389692544559758e-9,1.2660869926606508e-6,NA,,AT2G39300,(1 of 2) PTHR18937//PTHR18937:SF221 - STRUCTURAL MAINTENANCE OF CHROMOSOMES SMC FAMILY MEMBER,NA,NA,LOC_Os07g48700,expressed protein,NA,NA,NA,NA,NA
Ceric.07G052800.1,3.196018613254089,4.5226070252983925,532.7878418663067,3.4149653402025668e-9,1.2660869926606508e-6,NA,,NA,NA,Cre07.g320350,chloroplast DnaJ-like protein,NA,NA,PF00226 PF13370,PTHR24078,NA,KOG0716,NA
Ceric.31G038000.1,6.110884291877022,4.965467402330426,533.5581607970813,3.4448191184301674e-9,1.2660869926606508e-6,NA,,AT5G05500,Pollen Ole e 1 allergen and extensin family protein,NA,NA,LOC_Os01g07060,"POEI43 - Pollen Ole e I allergen and extensin family protein precursor, putative, expressed",PF01190,PTHR33470,NA,NA,NA
Ceric.11G033400.1,-2.600169974131663,5.351159545677881,529.6118442058914,3.5039656672309825e-9,1.2660869926606508e-6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,EC:2.1.1.43,NA,NA
Ceric.31G010200.1,2.861686930016811,5.213420595061803,528.0198909221797,3.5491602940466644e-9,1.2660869926606508e-6,GO:0004659 GO:0016021,prenyltransferase activity; ,AT2G18950,homogentisate phytyltransferase 1,Cre09.g414000,homogentisate phytyltransferase/ prenyltransferase,LOC_Os06g44840,"prenyltransferase, putative, expressed",PF01040,PTHR11048 PTHR11048:SF26,EC:2.5.1.115,NA,K09833
Ceric.28G057200.1,-3.7793030201350786,4.833109914812353,526.6183523468069,3.600904409244279e-9,1.2660869926606508e-6,GO:0006812 GO:0015299 GO:0016021 GO:0055085,monoatomic cation transport; ; ; transmembrane transport,NA,NA,NA,NA,NA,NA,PF00999,PTHR32468,NA,KOG1650,NA
Ceric.16G021700.1,2.962732505455735,5.75050208766193,524.3584669458203,3.657772847764365e-9,1.2660869926606508e-6,GO:0008612,peptidyl-lysine modification to peptidyl-hypusine,NA,NA,Cre08.g369800,Deoxyhypusine synthase,NA,NA,PF01916,PTHR11703,EC:2.5.1.46,NA,NA
Ceric.39G028800.1,-2.925422428436109,4.809345000110448,521.6855603797034,3.743885285163841e-9,1.2660869926606508e-6,GO:0000287 GO:0008152 GO:0010333 GO:0016829,magnesium ion binding; metabolic process; terpene synthase activity; lyase activity,AT4G02780,Terpenoid cyclases/Protein prenyltransferases superfamily protein,NA,NA,LOC_Os02g17780,"ent-kaurene synthase, chloroplast precursor, putative, expressed",PF01397 PF03936,PTHR31739,EC:4.2.3.19,NA,NA
Ceric.26G037600.1,-3.4758694046234435,4.493201838300148,521.4434263927518,3.759718224748756e-9,1.2660869926606508e-6,GO:0005576 GO:0009664,extracellular region; plant-type cell wall organization,AT2G37640,Barwin-like endoglucanases superfamily protein,Cre03.g177100,(1 of 11) PTHR31867//PTHR31867:SF1 - FAMILY NOT NAMED // EXPANSIN-A1-RELATED,LOC_Os03g60720,"expansin precursor, putative, expressed",PF01357 PF03330,PTHR31867,NA,NA,NA
Ceric.08G064300.1,7.8521476065058,2.451573055264082,218.74008008705692,3.773267071753951e-9,1.2660869926606508e-6,GO:0005634,nucleus,NA,NA,Cre06.g289750,D-type cyclin,NA,NA,PF00134 PF02984,PTHR10177 PTHR10177:SF215,NA,KOG0656,K18810
Ceric.33G043100.1,5.424593197510216,3.5530380820537544,527.1842121543854,3.787368625204709e-9,1.2660869926606508e-6,GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114,"monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding; ",AT2G45570,"cytochrome P450, family 76, subfamily C, polypeptide 2",Cre03.g161250,"Cytochrome P450, CYP197 superfamily",LOC_Os06g41070,"cytochrome P450, putative, expressed",PF00067,PTHR24298,EC:1.14.13.28,KOG0156,K07408 K14985
Ceric.01G012500.1,-2.6898664552134575,5.641374337916904,515.7690241679984,3.930749129546889e-9,1.2660869926606508e-6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.01G051400.1,6.923114753192618,2.1722420656205546,294.6894385766851,3.958756174919157e-9,1.2660869926606508e-6,NA,,AT1G67640,Transmembrane amino acid transporter family protein,NA,NA,NA,NA,PF01490,PTHR22950 PTHR22950:SF235,NA,KOG1303,NA
Ceric.10G034500.1,-3.7293079942188245,4.382043913523517,515.4094767161296,3.962073379647327e-9,1.2660869926606508e-6,NA,,NA,NA,NA,NA,NA,NA,PF00477,PTHR34671 PTHR34671:SF1,NA,NA,NA
Ceric.04G010000.1,-3.00650891261349,4.557657667269714,513.8652124514493,4.000278977833425e-9,1.2660869926606508e-6,NA,,NA,NA,NA,NA,LOC_Os02g27000,"ATP-binding region, ATPase-like domain containing protein, expressed",PF13589,PTHR23336 PTHR23336:SF7,NA,KOG1845,NA
Ceric.13G009300.1,6.842004542105894,6.76938207942551,511.7755045844866,4.077849444018948e-9,1.2660869926606508e-6,GO:0005215 GO:0006810 GO:0016020,transporter activity; transport; membrane,AT4G01470,tonoplast intrinsic protein 1;3,Cre12.g549300,Aquaporin,LOC_Os03g05290,"aquaporin protein, putative, expressed",PF00230,PTHR19139 PTHR19139:SF52,NA,KOG0223,K09873
Ceric.38G066000.1,-2.5823783025828138,6.205621505966543,509.0761752597571,4.159224776595927e-9,1.2660869926606508e-6,NA,,NA,NA,NA,NA,NA,NA,PF12734,PTHR31568,NA,NA,NA
Ceric.06G020600.1,-3.3011951726810116,6.0452253231494515,508.25261565409613,4.1898952215346574e-9,1.2660869926606508e-6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.07G044500.1,2.722493489512442,6.5790592733393005,505.2019474621081,4.298614209413693e-9,1.2660869926606508e-6,GO:0005509 GO:0009523 GO:0009654 GO:0015979 GO:0019898,calcium ion binding; photosystem II; photosystem II oxygen evolving complex; photosynthesis; extrinsic component of membrane,AT3G55330,PsbP-like protein 1,Cre12.g509050,PsbP-like protein of thylakoid lumen,LOC_Os10g32400,"PsbP, putative, expressed",PF01789,PTHR31407 PTHR31407:SF4,NA,NA,K02717
Ceric.25G065000.1,-2.6918820881819094,5.005010515055651,505.1785006541336,4.303047460327684e-9,1.2660869926606508e-6,GO:0004367 GO:0005975 GO:0006072 GO:0009331 GO:0016616 GO:0046168 GO:0051287 GO:0055114,"; carbohydrate metabolic process; glycerol-3-phosphate metabolic process; glycerol-3-phosphate dehydrogenase (FAD) complex; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; glycerol-3-phosphate catabolic process; NAD binding; ",AT2G41540,6-phosphogluconate dehydrogenase family protein,NA,NA,NA,NA,PF01210 PF07479,PTHR11728 PTHR11728:SF17,EC:1.1.1.8,KOG2711,K00006
Ceric.19G076300.1,7.007414687899968,2.7268506443346268,366.3444198044516,4.328330051934029e-9,1.2660869926606508e-6,GO:0005515,protein binding,AT4G11610,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein,Cre16.g689950,(1 of 1) PF00168//PF08372 - C2 domain (C2) // Plant phosphoribosyltransferase C-terminal (PRT_C),LOC_Os04g58720,"anthranilate phosphoribosyltransferase, putative, expressed",PF00168 PF08372,PTHR10024 PTHR10024:SF226,NA,NA,NA
Ceric.1Z071300.1,3.8421162762198375,5.5517809574859855,502.1148875322804,4.416585072134457e-9,1.2660869926606508e-6,GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114,"monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding; ",AT2G45570,"cytochrome P450, family 76, subfamily C, polypeptide 2",Cre03.g161250,"Cytochrome P450, CYP197 superfamily",LOC_Os06g41070,"cytochrome P450, putative, expressed",PF00067,PTHR24298,NA,KOG0156,NA
Ceric.24G031200.1,-2.7114540377696215,4.509296868557275,498.1098338470664,4.5773587953383645e-9,1.2660869926606508e-6,GO:0003333 GO:0006810 GO:0015171 GO:0016020 GO:0055085,amino acid transmembrane transport; transport; amino acid transmembrane transporter activity; membrane; transmembrane transport,AT3G19553,Amino acid permease family protein,Cre06.g292350,Amino acid carrier,NA,NA,PF00324,PTHR11785 PTHR11785:SF338,NA,KOG1287,NA
Ceric.30G063600.1,-2.8514099602445437,6.300973113533694,494.61717516750036,4.713489252970795e-9,1.2660869926606508e-6,NA,,NA,NA,NA,NA,NA,NA,NA,PTHR33476,NA,NA,NA
Ceric.06G070200.1,7.378450843545047,4.451099948639891,503.0171909026986,4.720052222123431e-9,1.2660869926606508e-6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.07G084000.1,-3.0451285610102197,4.432575890859248,494.6814129664559,4.7206639472619504e-9,1.2660869926606508e-6,GO:0004553 GO:0005975,"hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process",AT2G19440,O-Glycosyl hydrolases family 17 protein,NA,NA,LOC_Os03g57880,"glucan endo-1,3-beta-glucosidase precursor, putative, expressed",PF00332 PF07983,PTHR32227 PTHR32227:SF20,EC:3.2.1.39,NA,NA
Ceric.09G051800.1,5.190379042878613,10.05550757438234,494.22755420714526,4.728572504171248e-9,1.2660869926606508e-6,NA,,AT1G67090,ribulose bisphosphate carboxylase small chain 1A,Cre02.g120100,"ribulose-1,5-bisphosphate carboxylase/oxygenase small subunit 1",LOC_Os12g17600,"ribulose bisphosphate carboxylase small chain, chloroplast precursor, putative, expressed",PF00101,PTHR31262,EC:4.1.1.39,NA,K01602
