module,GO.ID,Term,Annotated,Significant,Expected,p.value
lightyellow,GO:0006396,RNA processing,75,10,1.21,1.2e-4
lightyellow,GO:0016579,protein deubiquitination,4,2,0.06,0.00152
lightyellow,GO:0006886,intracellular protein transport,68,5,1.1,0.00464
magenta,GO:0009664,plant-type cell wall organization,51,32,5.04,2.3e-20
magenta,GO:0046274,lignin catabolic process,26,11,2.57,1.5e-5
magenta,GO:0005975,carbohydrate metabolic process,342,52,33.79,9.4e-5
midnightblue,GO:0007275,multicellular organism development,19,5,0.36,2e-5
midnightblue,GO:0006355,regulation of DNA-templated transcriptio...,452,21,8.48,7.3e-5
midnightblue,GO:0009607,response to biotic stimulus,18,3,0.34,0.0043
paleturquoise,GO:0009058,biosynthetic process,1341,24,21.22,0.025
paleturquoise,GO:0009651,response to salt stress,2,1,0.03,0.031
paleturquoise,GO:0055075,potassium ion homeostasis,2,1,0.03,0.031
purple,GO:0006355,regulation of DNA-templated transcriptio...,452,41,11.48,1.1e-13
purple,GO:0045454,cell redox homeostasis,98,19,2.49,2.2e-12
purple,GO:0016567,protein ubiquitination,42,5,1.07,0.0039
saddlebrown,GO:0006814,sodium ion transport,16,3,0.26,0.0021
saddlebrown,GO:0055085,transmembrane transport,435,15,7.2,0.004
saddlebrown,GO:0006869,lipid transport,46,4,0.76,0.0164
skyblue,GO:0015979,photosynthesis,186,38,2.81,2.1e-7
skyblue,GO:0008152,metabolic process,3890,78,58.69,1e-6
skyblue,GO:0033014,tetrapyrrole biosynthetic process,36,8,0.54,2.2e-4
tan,GO:0006355,regulation of DNA-templated transcriptio...,452,19,8.23,4.2e-4
tan,GO:0006839,mitochondrial transport,9,2,0.16,0.01088
tan,GO:0006529,asparagine biosynthetic process,1,1,0.02,0.01822
tan,GO:0030212,hyaluronan metabolic process,1,1,0.02,0.01822
turquoise,GO:0007018,microtubule-based movement,76,53,17.41,2.8e-17
turquoise,GO:0006281,DNA repair,114,76,26.11,5.3e-15
turquoise,GO:0006260,DNA replication,70,49,16.03,3e-10
violet,GO:0006412,translation,161,7,0.83,1.2e-5
violet,GO:0015986,proton motive force-driven ATP synthesis,43,4,0.22,6.1e-5
violet,GO:0006886,intracellular protein transport,68,3,0.35,0.0049
white,GO:0000272,polysaccharide catabolic process,7,2,0.05,9.8e-4
white,GO:0008152,metabolic process,3890,31,27.2,0.03333
white,GO:0044238,primary metabolic process,3001,24,20.98,0.03636
