module,GO.ID,Term,Annotated,Significant,Expected,p.value
greenyellow,GO:0006873,intracellular monoatomic ion homeostasis,11,3,0.27,0.002
greenyellow,GO:0045454,cell redox homeostasis,98,8,2.38,0.0024
grey60,GO:0019836,hemolysis by symbiont of host erythrocyt...,6,6,0.19,8.5e-10
grey60,GO:0019290,siderophore biosynthetic process,34,8,1.06,6.9e-6
grey60,GO:0019752,carboxylic acid metabolic process,240,18,7.49,7.7e-5
ivory,GO:0006413,translational initiation,15,5,0.68,3.8e-4
ivory,GO:0035434,copper ion transmembrane transport,8,3,0.36,0.00438
ivory,GO:0000387,spliceosomal snRNP assembly,3,2,0.14,0.00599
ivory,GO:0000045,autophagosome assembly,3,2,0.14,0.00599
lightcyan,GO:0006950,response to stress,332,36,25.09,6.1e-9
lightcyan,GO:0055085,transmembrane transport,447,62,33.78,4.8e-5
lightcyan,GO:0048544,recognition of pollen,12,6,0.91,1.1e-4
lightcyan1,GO:0009664,plant-type cell wall organization,52,18,3.91,1.6e-8
lightcyan1,GO:0005975,carbohydrate metabolic process,354,43,26.63,8.1e-4
lightcyan1,GO:0006032,chitin catabolic process,4,3,0.3,0.0016
lightsteelblue1,GO:0071897,DNA biosynthetic process,4,1,0.01,0.012
lightsteelblue1,GO:0015743,malate transport,8,1,0.02,0.024
lightsteelblue1,GO:0015936,coenzyme A metabolic process,8,1,0.02,0.024
magenta,GO:0006694,steroid biosynthetic process,17,3,0.55,0.016
magenta,GO:0009058,biosynthetic process,1436,46,46.07,0.018
magenta,GO:0016998,cell wall macromolecule catabolic proces...,7,2,0.22,0.019
maroon,GO:0005978,glycogen biosynthetic process,8,3,0.09,8.4e-5
maroon,GO:0045454,cell redox homeostasis,98,6,1.15,9.5e-4
maroon,GO:0000103,sulfate assimilation,6,2,0.07,0.00198
mediumpurple3,GO:0008152,metabolic process,4025,74,56.68,9.5e-6
mediumpurple3,GO:0015995,chlorophyll biosynthetic process,21,4,0.3,1.8e-4
mediumpurple3,GO:0034477,U6 snRNA 3'-end processing,1,1,0.01,0.01408
mediumpurple3,GO:0050992,dimethylallyl diphosphate biosynthetic p...,1,1,0.01,0.01408
mediumpurple3,GO:0019288,isopentenyl diphosphate biosynthetic pro...,1,1,0.01,0.01408
mediumpurple3,GO:0016036,cellular response to phosphate starvatio...,1,1,0.01,0.01408
orangered4,GO:0006355,regulation of DNA-templated transcriptio...,457,75,51.08,3e-4
orangered4,GO:0006468,protein phosphorylation,769,114,85.95,5e-4
orangered4,GO:0006470,protein dephosphorylation,86,20,9.61,0.001
plum2,GO:0009690,cytokinin metabolic process,3,1,0.01,0.0075
plum2,GO:0009864,"induced systemic resistance, jasmonic ac...",6,1,0.01,0.0149
plum2,GO:0009694,jasmonic acid metabolic process,6,1,0.01,0.0149
saddlebrown,GO:0045454,cell redox homeostasis,98,16,1.41,2.9e-13
saddlebrown,GO:0006355,regulation of DNA-templated transcriptio...,457,29,6.6,1.7e-12
saddlebrown,GO:0009864,"induced systemic resistance, jasmonic ac...",6,2,0.09,0.003
saddlebrown,GO:0009694,jasmonic acid metabolic process,6,2,0.09,0.003
salmon4,GO:0009772,photosynthetic electron transport in pho...,32,8,0.15,6.3e-13
salmon4,GO:0015977,carbon fixation,10,4,0.05,7.5e-8
salmon4,GO:0009767,photosynthetic electron transport chain,49,10,0.23,0.0013
skyblue,GO:0015979,photosynthesis,196,77,7.06,1.6000000000000001e-28
skyblue,GO:0015986,proton motive force-driven ATP synthesis,42,25,1.51,2.7e-26
skyblue,GO:0009772,photosynthetic electron transport in pho...,32,18,1.15,1.5e-18
steelblue,GO:0005992,trehalose biosynthetic process,16,3,0.19,8.5e-4
steelblue,GO:0006012,galactose metabolic process,6,2,0.07,0.0021
steelblue,GO:0000272,polysaccharide catabolic process,8,2,0.1,0.00387
thistle1,GO:0006352,DNA-templated transcription initiation,20,2,0.08,0.0029
thistle1,GO:0015996,chlorophyll catabolic process,1,1,0,0.0041
thistle1,GO:0000154,rRNA modification,2,1,0.01,0.0082
